Name,Since,Category,Strength,Years,Board,Phone No,Fee,Location,Faculty,Sports,Amenities
JAIN International Residential School,1999,International Schools,750,5 - 12,"CBSE, Cambridge IGCSE, International Baccalaureate",tel:+919513238818,850000,"JAIN Global Campus, 45 km, Bangalore  
Kanakapura Rd (NH 209), Jakkasandra Post, Kanakapura Taluk, Ramanagara District - 562112, Bangalore (Rural), Karnataka, INDIA",,"Athletics, Badminton, Basketball, Billiards, Carroms, Chess, Cricket, Football, Golf, Hockey, Horseback Riding, Karate, Shooting, Skating, Squash, Swimming, Table-tennis, Tennis, Throwball, Volleyball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Trio World Academy,2007,"International Schools, Public Schools",500,Pre School - 12,"Cambridge IGCSE, International Baccalaureate",tel:+919513238818,"Rs. 3,00,000 to Rs. 7,00,000","No 3/6, Sahakarnagar, Kodigehalli Main Road, Bengaluru, Karnataka 560092",Mr. Robert Champion Secondary Principal / TRIO World Academy Mr. Vinod Singh Head of the School / TRIO World Academy,"Badminton, Basketball, Carroms, Chess, Cricket, Football, Skating, Swimming, Tennis, Throwball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
New Horizon International School,2022,International Schools,1000 approx,Pre School - 9,"CBSE, Cambridge IGCSE",tel:+919513238818,"1,54,900-2,21,900","New Horizon International School, Hennur Main Road, Kothanur, Bengaluru, Karnataka - 560077",,"Athletics, Badminton, Basketball, Carroms, Chess, Cricket, Football, Kabaddi, Karate, Kho-Kho, Skating, Table-tennis, Tennis, Throwball, Volleyball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Amrita International Vidyalayam,2020,International Schools,,Pre School - 8,"ICSE, International Baccalaureate, Montessori",tel:+919513238818,"ICSE: 1,47,000-1,95,000  IB 2,42,000 - 3,00,000","Choodasandra, PO Huskur, Bangalore",,"Athletics, Badminton, Basketball, Carroms, Chess, Cricket, Football","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
New Horizon Public School,1982,Public Schools,2321,Pre School - 10,ICSE,tel:+919513238818,"1,50,000 to 2,00,000.","100 Feet Road, Near Titan Showroom, HAL 2nd Stage, Indira Nagar, Bengaluru, Karnataka 560008","Dr. Mohan Manghnani. Chairman / N/A Ms Anupama Sethi Principal / M.A, B.Ed","Badminton, Basketball, Carroms, Chess, Skating, Tennis, Throwball, Volleyball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Knowledgeum Academy,2021,International Schools,16,8 - 12,International Baccalaureate,tel:+919513238818,INR 500000-700000,"Knowledgeum Academy#44/4, District Fund RoadJayanagar 9th BlockBengaluru, 560 069",,,"Laboratory, Smart Classrooms, Computers Facility, Library"
Harrow International School Bengaluru,2023,International Schools,,6 - 12,"Cambridge IGCSE, International Baccalaureate",tel:+918035470244,"Harrow International School Bengaluru fees is 18,11,250/- to 18,90,000/-","Harrow International School Bengaluru, Opp DC Office, National Highway 207, Doddaballapur Main Rd, Devanahalli, Bengaluru, Karnataka 562110",ANDREW LEALE HEADMASTER / .,"Athletics, Basketball, Cricket, Football, Golf, Gymnastics, Swimming, Table-tennis, Volleyball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
National Centre For Excellence,2006,,2500,Pre School - 12,CBSE,tel:+918035470244,150000/-  Annually,"154/1, VIJAY KIRAN KNOWLEDGE PARK, 5th Main Rd, Malleshpalya, Kaggadasapura, Bengaluru, Karnataka 560075, India",,"Archery, Athletics, Badminton, Basketball, Carroms, Chess, Football, Karate","Transport, Laboratory, Computers Facility, Library"
The Shri Ram Universal School,2023,Public Schools,,Pre School - 6,CBSE,tel:+918035470244,"1,68,000/- to 1,80,000/-","#99, Green Garden layout, Phase 2, Chokkanahalli, bangalore north 560064.",,"Basketball, Cricket, Football, Skating, Swimming, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
The Academic City School,2015,"International Schools, Boarding Schools",306,4 - 12,"CBSE, IGCSE",tel:+919513238818,"5,33,142/-","Global Campus: The Academic City, Venkatapura, Bairegowdanahalli Bus Stop, Sondekoppa Road , Nelamangala, Bengaluru, Karnataka 562123","Sripal Jain Chairperson and Founder / CA, Educator, Entrepreneur, Author Ms. Madhusmita Bezbaruah Principal / Post Graduate Diploma in School Leadership and Management.","Athletics, Badminton, Basketball, Carroms, Chess, Cricket, Football, Kabaddi, Kho-Kho, Skating, Swimming, Table-tennis, Volleyball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
New Horizon Gurukul,2012,Public Schools,3346,Pre School - 11,CBSE,tel:+919513238818,"1,29,900-1,44,900","KADUBISANAHALLI, KAVERAPPA LAY OUT, Doddakannelli - Kaadubeesanahalli Rd, Kaverappa Layout, Kadubeesanahalli, Bengaluru, Karnataka 560103",,"Badminton, Basketball, Carroms, Chess, Swimming, Table-tennis, Volleyball","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Bethany High School,1963,International Schools,3250,LKG - 12,ICSE,tel:+919513238818,120000,"CA -12, 20th Main, Koramangala, Next to Koramangala Police station, Bengaluru, Karnataka 560095",Dr. Akash Ryall Director / N/A,"Carroms, Chess, Cricket, Football, Kabaddi, Kho-Kho, Table-tennis, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
MVM School,2011,International Schools,,Pre School - 10,CBSE,tel:+918035470244,38000 to 85000,"Kannamangala, Near Toll, International Airport Road,Devanahalli,Bengaluru",,"Basketball, Football",
New Horizon Gurukul Pre School,2012,"Play Schools, Public Schools",,Pre School - UKG,CBSE,tel:+919513238818,42100 - 56900,"124/2, Bhoganahalli Main Road, Bellandur Post, Bangalore-560103, India",,,"Transport, Medical Facility, Smart Classrooms, Library"
National Public School,1982,Public Schools,N/A,LKG - 12,CBSE,tel:+919513238818,138000,"12th A Main Rd, HAL 2nd Stage, Indiranagar, Bengaluru, Karnataka 560008",Dr. K. P. Gopalkrishna Chairman / N/A,"Badminton, Basketball, Carroms, Chess, Cricket, Football, Hockey, Kabaddi, Kho-Kho, Skating, Table-tennis, Throwball, Yoga","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
National Centre for Excellence,2017,Other Collections,,Pre School - 10,Public Schools,tel:+919513238818,"2,00,000/- Annually","1054/2, 7th main, 11th cross, lic colony, next to murugan temple, jeevan bhima nagar, Bengaluru – 560075.",,"Badminton, Basketball, Carroms, Chess, Football, Table-tennis, Throwball, Volleyball","Transport, Smart Classrooms, Computers Facility, Library"
Oakridge International School,2012,International Schools,1000,LKG - 12,International Baccalaureate,tel:+919513238818,250000,"Varthur Road, Circle, near Dommasandra, Choudadenahalli, Bengaluru, Karnataka 562125",,"Athletics, Badminton, Basketball, Carroms, Chess, Cricket, Football, Hockey, Kabaddi, Kho-Kho, Swimming, Table-tennis, Tennis, Yoga","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
St. Francis School ICSE,2003,Public Schools,N/A,1 - 12,ICSE,tel:+919513238818,150000,"3417, 3rd Block, 8th Main Rd, Koramangala, Bengaluru, Karnataka 560034",,"Badminton, Basketball, Carroms, Chess, Cricket, Football, Hockey, Kabaddi, Kho-Kho, Lawn Tennis, Table-tennis, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Mallya Aditi International School,1984,International Schools,N/A,1 - 12,"ICSE, IGCSE",tel:+919513238818,,"Behind NIPCCD building, RWF West Colony, Yelahanka New Town, Bengaluru, Karnataka 560106",,"Badminton, Basketball, Carroms, Chess, Cricket, Football, Handball, Kabaddi, Lawn Tennis, Tennis, Throwball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Kendriya Vidyalaya,1963,Public Schools,N/A,1 - 12,CBSE,tel:+919513238818,,"1, Thyagi M Palanivelu Rd, ASC Centre, Bengaluru, Karnataka 560047",,"Badminton, Basketball, Carroms, Chess, Cricket, Hockey, Kabaddi, Kho-Kho, Tennis, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Presidency School,2006,Public Schools,N/A,LKG - 12,CBSE,tel:+919513238818,128000,"No.80/1, 80/2, Bilekahalli, Off Bannerghatta Road, Bengaluru, Karnataka 560076",Mrs. J.Bhuvaneswari Director / Principal / PSBS / PSMNG,"Basketball, Carroms, Chess, Cricket, Football, Handball, Kabaddi, Kho-Kho, Taekwondo, Throwball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Inventure Academy,2005,International Schools,N/A,LKG - 12,"ICSE, IGCSE",tel:+919513238818,300000,"Whitefield â€“ Sarjapur Road, Chikkavaderapura, Near Dommasandra Circle, Bengaluru, Karnataka 562125",Mr. Razack CHAIRMAN AND CO-FOUNDER / N/A Meenakshi Myer Principal / B.Ed,"Badminton, Basketball, Carroms, Chess, Cricket, Hockey, Kabaddi, Kho-Kho, Swimming, Table-tennis, Tennis, Throwball, Yoga","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
Ebenezer International School,N/A,International Schools,800,LKG - 12,"International Baccalaureate, ICSE, Cambridge IGCSE",tel:+919513238818,90000,"P.O, Singena Agrahara Road, Via Huskur Road, A.P.M.C. Yard, Huskur, Electronic City, Bengaluru, Karnataka 560099",Mr. Jesus Lall Chairman / N/A,"Archery, Athletics, Badminton, Basketball, Billiards, Boxing, Carroms, Chess, Checkers, Cricket, Cycling, Football, Golf, Gymnastics, Handball, Hockey, Horseback Riding, Ice-Hockey, Kabaddi, Karate, Kho-Kho, Netball, Swimming, Throwball, Volleyball, Yoga","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
The Deens Academy,2006,Public Schools,N/A,LKG - 12,CBSE,tel:+919513238818,105000,"No. 64/1 & 65/2, ECC Rd, Dodsworth Layout, Whitefield, Bengaluru, Karnataka 560066",Ms. Shanthi Menon Principal / N/A,"Carroms, Chess, Cricket, Kabaddi, Karate, Kho-Kho, Skating, Swimming, Tennis, Yoga","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
The Brigade School,1990,Public Schools,610,1 - 12,CBSE,tel:+919513238818,124000,"Brigade Millenium Rd, Jagruthi Colony, BOB Colony, 7th Phase, J. P. Nagar, Bengaluru, Karnataka 560078",,"Basketball, Carroms, Chess, Cricket, Football, Kabaddi, Kho-Kho, Lawn Tennis, Skating, Tennis, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Bangalore International School,1969,International Schools,950,LKG - 12,"International Baccalaureate, Cambridge IGCSE",tel:+919513238818,200000,"Hennur Bagalur Road, Kothanur Post, Geddalahalli, Bengaluru, Karnataka 560077",,"Basketball, Chess, Cricket, Football, Swimming, Tennis, Throwball","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Sri Aurobindo Memorial School,1962,Public Schools,3000,1 - 10,CBSE,tel:+919513238818,19200,"13-A Main, 22nd Cross, Banashankari II Stage, Bengaluru, Karnataka 560070",Ms. Aditi Vasishtha Secretary / N/A,"Basketball, Carroms, Chess, Cricket, Football, Kabaddi, Kho-Kho, Table-tennis, Tennis, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
BGS International Residential School,1997,International Schools,N/A,LKG - 12,CBSE,tel:+919513238818,,"Post, Nityananda Nagar, Gollahalli, Kengeri Hobli, Bengaluru, Karnataka 560074",Sri Sri .Dr.Prakasnath Swamiji Managing Director / N/A,"Basketball, Carroms, Chess, Cricket, Football, Handball, Hockey, Kabaddi, Kho-Kho, Lawn Tennis, Skating, Swimming, Tennis, Throwball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Neev Academy,2005,International Schools,N/A,LKG - 12,"International Baccalaureate, ICSE",tel:+919513238818,425000,"Sy.No.16, Yemalur - Kempapura Main Road Opp. Sai Garden Appartments, Yemalur, Bengaluru, Karnataka 560037",Kavita Gupta Sabharwal Director / .,"Athletics, Basketball, Carroms, Chess, Cricket, Football, Kabaddi, Kho-Kho, Swimming, Tennis, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Bishop Cotton Girls School,1865,International Schools,7000,LKG - 12,ICSE,tel:+919513238818,92000,"St. Mark's Road, Residency Road, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560025",Dr. Mrs. Lavanya Mithran Principal / M.Sc. B.Ed. Ph.D,"Athletics, Basketball, Carroms, Chess, Cricket, Football, Kabaddi, Kho-Kho, Yoga","Transport, Laboratory, Smart Classrooms, Computers Facility"
Delhi Public School,2001,International Schools,N/A,LKG - 12,CBSE,tel:+919513238818,79200,"No 174, Hagadur Main Road, Near Forum Value Mall, Whitefield, Bengaluru, Karnataka 560066",Ms. Kamava Bopana Principal / N/A,"Athletics, Basketball, Carroms, Chess, Cricket, Football, Swimming, Yoga","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
Treamis World School,2007,Public Schools,1500,Pre School - 12,"CBSE, International Baccalaureate, IGCSE",tel:+919513238818,250000,"Near Electronics City, Hulimangala Post, Bengaluru, Karnataka 560105",,"Basketball, Carroms, Chess, Cricket, Football, Handball, Kabaddi, Kho-Kho, Lawn Tennis, Swimming, Table-tennis, Tennis, Throwball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Kendriya Vidyalaya Hebbal,N/A,Public Schools,N/A,1 - 12,CBSE,tel:+919513238818,6000,"Sadashiva Nagar, Ashwath Nagar, Armane Nagar, Bengaluru, Karnataka 560080",Shri. Dharmendra Patle Deputy Commissioner KVS RO Bengaluru / .,"Basketball, Carroms, Chess, Cricket, Kabaddi, Kho-Kho, Lawn Tennis, Tennis, Throwball, Yoga","Transport, Medical Facility, Laboratory, Computers Facility, Library"
Bishop Cotton Boys School,1865,International Schools,6000,LKG - 12,ICSE,tel:+919513238818,220000,"15, Residency Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560025",Dr. P. K. Samuel Chairman / N/A,"Archery, Athletics, Basketball, Chess, Cricket, Hockey, Kabaddi, Kho-Kho, Swimming","Transport, Laboratory, Smart Classrooms, Computers Facility"
