Name,Since,Category,Strength,Years,Board,Phone No,Fee,Location,Faculty,Sports,Amenities
Ebenezer International School,N/A,International Schools,800,LKG - 12,"International Baccalaureate, ICSE, Cambridge IGCSE",tel:+919513238818,90000,"P.O, Singena Agrahara Road, Via Huskur Road, A.P.M.C. Yard, Huskur, Electronic City, Bengaluru, Karnataka 560099",Mr. Jesus Lall Chairman / N/A,"Archery, Athletics, Badminton, Basketball, Billiards, Boxing, Carroms, Chess, Checkers, Cricket, Cycling, Football, Golf, Gymnastics, Handball, Hockey, Horseback Riding, Ice-Hockey, Kabaddi, Karate, Kho-Kho, Netball, Swimming, Throwball, Volleyball, Yoga","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
Vibgyor High School,2004,Public Schools,N/A,LKG - 10,"ICSE, IGCSE",tel:+919513238818,175000,"Survey No. 45/1 & 112, Village Vittasandra, Begur, Hobli Bengaluru South, Taluka, Bengaluru, Karnataka 560100",Rustom Kerawalla Founder Chairman VIBGYOR Group of Schools / N/A,"Basketball, Carroms, Chess, Cricket, Football, Gymnastics, Handball, Hockey, Kabaddi, Karate, Kho-Kho, Lawn Tennis, Swimming, Tennis, Throwball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Delhi Public School,2014,International Schools,4684,LKG - 10,CBSE,tel:+919513238818,71650,"Survey No.33, Bettadasanpura, Begur Hobli, Bengaluru, Karnataka 560068","Sri. K. Rahman Khan Chairman, K. K. Educational and Charitable Trust / N/A","Archery, Athletics, Basketball, Carroms, Chess, Cricket, Football, Hockey, Kabaddi, Kho-Kho, Swimming, Throwball, Yoga","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
National Public School,2019,Public Schools,750,Pre School - 12,CBSE,tel:+919513238818,170000,"Electronic City, Hosur Rd, Hebbagodi, Bengaluru, Karnataka 560100",,"Athletics, Badminton, Basketball, Carroms, Chess, Cricket, Handball, Karate, Taekwondo, Throwball, Volleyball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
"Sri Chaitanya Techno School, Electronic City",1986,Public Schools,,Pre School - 12,CBSE,tel:+918035470244,,,,"Athletics, Badminton, Basketball, Boxing, Carroms, Cricket, Cycling, Football, Skating, Throwball, Volleyball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
"SFS Academy, Electronic City",Public Schools,N/A,Pre School - 12,CBSE,Co-Education,tel:+918035470244,,,,"Archery, Athletics, Badminton, Basketball, Billiards, Boxing, Carroms, Cricket, Cycling, Football, Gymnastics, Hockey, Shooting, Table-tennis, Tennis, Volleyball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Feathertouch International,2012,Play Schools,21,Pre School - PRE,Other Boards,tel:+919513238818,96000,"Feathertouch International A-114 Kssidc Block 3 Below Traffic Police Station, Electronic City, Bengaluru, Karnataka 560100",,Yoga,"Transport, Smart Classrooms"
St. Xavier's School  Electronic City,Public Schools,N/A,Pre School - PRE,CBSE,Co-Education,tel:+918035470244,,,,"Archery, Athletics, Badminton, Basketball, Billiards, Boxing, Carroms, Cricket, Cycling, Football, Golf, Gymnastics, Ice-Hockey, Table-tennis, Tennis, Volleyball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Your Kids R Our Kids,VXB,Play Schools,N/A,Pre School - PRE,Other Boards,tel:+919513238818,,"#9, Pallavi Grand Building, Next to Infosys Gate No. -3,, Konnapana Agrahara, Electronic City, Bengaluru, Karnataka 560100",,Yoga,Smart Classrooms
Redbridge International Academy,2013,"International Schools, Special Education Schools",,Pre School - 12,"CBSE, International Baccalaureate, ICSE",tel:+919513238818,,"#114, S Bingipura Village Hulimangala Post, Begur - Koppa Rd, Bengaluru, Karnataka 560105",,"Athletics, Badminton, Basketball, Carroms, Chess, Cricket, Football, Karate, Swimming, Volleyball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
ST. XAVIERS SCHOOL,2012,Day Schools,N/A,Nursery - Class 10,CBSE,tel:+918035470244,37200 / Annual,"Bettadasanapura, Bengaluru, Karnataka 560100, India",,,Transport
