Name,Since,Category,Strength,Years,Board,Phone No,Fee,Location,Faculty,Sports,Amenities
Vibgyor High School,2004,Public Schools,807,1 - 7,CBSE,tel:+919513238818,,"24th Main Road, Near, Hamilton Bailey Hospital, Sector 2, HSR Layout, Bengaluru, Karnataka 560102",Rustom Kerawalla Founder Chairman VIBGYOR Group of Schools / N/A,"Basketball, Carroms, Chess, Cricket, Football, Gymnastics, Handball, Kabaddi, Kho-Kho, Lawn Tennis, Skating, Swimming, Table-tennis, Yoga","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
Sri Chaitanya School HRS,1986,Public Schools,,Pre School - 12,CBSE,tel:+918035470244,"60,000 - 80,000","Plot No: 55/219th Main, 27th Cross, HSR Layout 2nd Sector,  Opposite Nagarjuna Green Ridge Apartments,  BENGALURU,  Karnataka",Mrs. A.Padmaja Principal / .,"Archery, Athletics, Badminton, Basketball, Boxing, Chess, Checkers, Cricket, Cycling, Football, Tennis, Throwball, Volleyball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Freedom International School,2006,International Schools,N/A,LKG - 12,CBSE,tel:+919513238818,150000,"C A # 33, Sector IV, HSR Layout , Bengaluru, Karnataka",,"Archery, Athletics, Basketball, Carroms, Chess, Cricket, Football, Hockey, Kabaddi, Kho-Kho, Table-tennis, Throwball, Yoga","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
Kids Castle Preschool,2000,Play Schools,50,Pre School - PRE,Other Boards,tel:+919513238818,24000,"4th A Cross Rd, HRBR Layout 3rd Block, HRBR Layout, Kalyan Nagar, Bengaluru, Karnataka 560043, India","Mrs. Shweta Aneja Founder Director / B.Ed, B.Com, B.SC.",Yoga,"Transport, Smart Classrooms"
Samsidh Group of Schools,2009,Special Education Schools,N/A,Nursery - Nursery,CBSE,tel:+919513238818,,"SAMSIDH MLZS, North BANGALORE No. 9, 1st Main, Ramanna Garden, Ramchandrapura,",,,Transport
Kids Paradise,2001,"Play Schools, Other Collections",N/A,Pre School - UKG,Other Boards,tel:+918035470244,,,,,Transport
National Public School HRS,2008,Public Schools,,Pre School - 12,CBSE,tel:+918035470244,,,,"Athletics, Badminton, Basketball, Billiards, Chess, Cricket, Football, Gymnastics, Lawn Tennis, Skating, Table-tennis, Tennis, Throwball, Volleyball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Greenhouse International,International Schools,55,Pre School - PRE,Other Boards,Co-Education,tel:+919513238818,60000,"1103, 18th cross,9th main, Sector 7 HSR layout, Bengaluru, Karnataka",,Yoga,Smart Classrooms
Little Millennium,2008,Play Schools,80,Pre School - PRE,Other Boards,tel:+919513238818,60000,"#79,16th cross , 14th main, Sector -4, H.S.R. Layout, Bengaluru, Karnataka",Mr. Raman Bajaj Founder / MBA,Yoga,Transport
Oi Playschool,2010,Play Schools,N/A,Pre School - PRE,Other Boards,tel:+919513238818,70000,"1496, 19th Main Rd, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102",Naga Prasad Tummala Chairman / N/A,Yoga,
The Tree House,N/A,Play Schools,N/A,Pre School - PRE,Other Boards,tel:+919513238818,24100,"817, 23rd A Cross Rd, 2nd Sector, Garden Layout, Sector 2, HSR Layout, Bengaluru, Karnataka 560102",,Yoga,
"MS Dhoni Global School, HSR",Public Schools,,Pre School - 12,CBSE,Co-Education,tel:+918035470244,,,,"Athletics, Badminton, Basketball, Billiards, Boxing, Cricket, Cycling, Football, Gymnastics, Table-tennis, Tennis, Throwball, Volleyball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Cambridge Public School,1999,Public Schools,100,LKG - 10,ICSE,tel:+919513238818,20000,"Garden Club, C.A. 13, 19th Main, 25th Cross Road, HSR Extension, Sector 2, HSR Layout, Bengaluru, Karnataka 560102",,"Basketball, Carroms, Chess, Cricket, Football, Kabaddi, Karate, Lawn Tennis, Swimming, Tennis, Throwball, Volleyball, Yoga","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
Ravindra Bharathi Global School,2012,Other Collections,N/A,Pre School - 12,CBSE,tel:+918035470244,,,,,Transport
"Narayana Olympiad School, HSR",Public Schools,,Pre School - 12,CBSE,Co-Education,tel:+918035470244,,,,"Archery, Athletics, Badminton, Basketball, Billiards, Boxing, Football, Lawn Tennis, Table-tennis, Tennis, Throwball, Volleyball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Floretz Academy,2005,"Play Schools, Other Collections",N/A,Pre School - 8,Other Boards,tel:+918035470244,,,,,Transport
Gnan Srishti School Of Excellence,N/A,International Schools,N/A,LKG - 10,ICSE,tel:+919513238818,35000,"19th Main, 17th Cross Road, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102",,"Athletics, Basketball, Carroms, Chess, Cricket, Football, Kabaddi, Kho-Kho, Swimming, Table-tennis, Tennis, Throwball, Yoga","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
Vivero International Preschool,Play Schools,N/A,Pre School - PRE,Other Boards,Co-Education,tel:+919513238818,,"Municipal No: 85, opposite BDA Complex, Sector 4, HSR Layout, Bengaluru, Karnataka 560102","Arun Arora Chairman, Edvance Pre-Schools / N/A",Yoga,
"Ravindra Bharathi Global School, HSR",Public Schools,,Pre School - PRE,CBSE,Co-Education,tel:+918035470244,,,,"Athletics, Badminton, Basketball, Billiards, Football, Gymnastics, Table-tennis, Tennis, Throwball, Volleyball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Your Kids R Our Kids,N/A,Play Schools,60,Pre School - PRE,Other Boards,tel:+919513238818,125000,"#190/A , 22nd Cross, 16th Main Rd, Sector 3, HSR Layout, Bengaluru, Karnataka 560029",,Yoga,
Kidzee,2003,Play Schools,50,Pre School - PRE,Other Boards,tel:+919513238818,58000,"# 1490, 20th Main Road Near Kubera TVS Motors, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102",Dr. Subhash Chandra Chairman / N/A,Yoga,
Bachpan Play School,2004,Play Schools,100,Pre School - PRE,Other Boards,tel:+919513238818,50000,"48, 11th Cross, 18th Main, Sector - 4, HSR Layout,, Opposite TVS Showroom, Bengaluru, Karnataka 560102",MR. S.K GUPTA Chairman / N/A MR. KRISHAN SHARMA Vice President (VP) / N/A,Yoga,"Transport, Smart Classrooms"
