Name,Since,Category,Strength,Years,Board,Phone No,Fee,Location,Faculty,Sports,Amenities
Bethesda International School,1993,International Schools,N/A,1 - 12,ICSE,tel:+919513238818,100000,"26/1, 1st Main Road, Kengeri, banglore, 560060",,"Archery, Athletics, Boxing, Chess, Yoga","Transport, Smart Classrooms, Computers Facility"
Smart Kidz,2014,Play Schools,,Pre School - PRE,Other Boards,tel:+919513238818,,"No. 10 & 11, Thimmappa Garden, 2nd Cross Nagadevanahalli, Kengeri Main Road Adjacent Road to Chitrakoota School, Gnana Bharathi, Bengaluru, Karnataka 560056",A.S. Ganesh Managing Director / N/A,Yoga,
Deeksha STEM,2018,Other Collections,,Pre School - 8,Other Boards,tel:+918035470244,,"10/3E, Kengeri - Kommaghatta Rd, BSM Extension, Kengeri Satellite Town, Kommaghatta, Karnataka 560060, India",,,
Airaa Academy,2013,Public Schools,450,Pre School - 12,"CBSE, Montessori",tel:+918035470244,,"Airaa Academy, Sy.No.#55/6,7,8, Hemmigepura (Main road),
Banashankari 6th Stage, Kengeri Hobli,
Bangalore – 560060",,"Athletics, Football, Table-tennis, Tennis","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
Basava Residential Girls School,1993,Boarding Schools,N/A,LKG - Class 12,"State Board, CBSE",tel:+918035470244,40000 / Annual,"Doddabele, Kengeri, Bengaluru, Karnataka 560060, India",,,Transport
Basava Residential Girls School,1993,Boarding Schools,N/A,LKG - Class 12,"State Board, CBSE",tel:+918035470244,40000 / Annual,"Doddabele, Kengeri, Bengaluru, Karnataka 560060, India",,,Transport
Vishwa Venkateshwara International School,2000,Day Schools,650,Nursery - Class 10,CBSE,tel:+918035470244,50000 / Annual,"Kodipalya, Bengaluru, Karnataka 560060, India",,,Transport
ST. ANNS PUBLIC SCHOOL,Day Schools,N/A,Pre-Nursery - Class 10,State Board,Co-Education,tel:+918035470244,45000 / Annual,"12/2, Kengeri Main Rd, Kodipalya, Bengaluru, Karnataka 560056, India",,,Transport
CARMEL PUBLIC SCHOOL,Day Schools,1200,Nursery - Class 10,State Board,Co-Education,tel:+918035470244,28000 / Annual,"WF6P+JFG, Dr.Vishnuvardhan Rd, Kengeri, Bengaluru, Karnataka 560060, India",,,Transport
BGS Public School,2006,Day Schools,150,Nursery - Class 12,CBSE,tel:+918035470244,90000 / Annual,"67, Dr.Vishnuvardhan Rd, Kengeri, Bengaluru, Karnataka 560098, India",,,Transport
GEAR Innovative International School,1995,International Schools,650,LKG - 12,CBSE,tel:+919513238818,180000,"175, GEAR Road, Off Outer Ring Road, Bengaluru, Karnataka 560035",,"Athletics, Basketball, Carroms, Chess, Cricket, Kabaddi, Kho-Kho, Table-tennis, Yoga","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
Sunrise International Academy,2016,Day Schools,63,Nursery - Class 10,"CBSE, State Board",tel:+918035470244,70000 / Annual,"37/3, New Byrohalli Road Behind Kengeri Satellite Town Club Kommaghatta Upangar, Bengaluru, Kommaghatta, Karnataka 560060, India",,,Transport
sgk public school,1985,Day Schools,180,Nursery - Class 10,CBSE,tel:+918035470244,30000 / Annual,"VFX9+M77, Bengaluru, Karnataka 560060, India",,,Transport
HOLY FAITH PUBLIC SCHOOL,Day Schools,N/A,Nursery - Class 10,"CBSE, ICSE",Co-Education,tel:+918035470244,75000 / Annual,"WF8J+QVH, Kengeri Main Rd, Stage I, Kengeri Satellite Town, Bengaluru, Karnataka 560060, India",,,
National Public School,1959,Public Schools,N/A,1 - 11,CBSE,tel:+918035470244,,"Hoysala Circle, 8/C, 80 Feet Rd, Volagalahalli, Subash Nagar, Kengeri Satellite Town, Bengaluru, Karnataka 560060",,,
NEW BALAJI VIKRAM ENGLISH SCHOOL,1978,Day Schools,N/A,Nursery - Class 10,State Board,tel:+918035470244,30000 / Annual,"WFCM+338, 3rd Main Rd, Stage I, Kengeri Satellite Town, Bengaluru, Karnataka 560060, India",,,Transport
Holy Faith Public School,Day Schools,N/A,Nursery - Class 10,"State Board, State Board",Co-Education,tel:+918035470244,53000 / Annual,"WF8J+QVH, Kengeri Main Rd, Stage I, Kengeri Satellite Town, Bengaluru, Karnataka 560060, India",,,Transport
Euro Kids,2001,Play Schools,N/A,Pre School - PRE,State Board,tel:+919513238818,45000,"448, 5th Main, 5th Cross Road, Kengeri Satellite Town, Bengaluru, Karnataka 560060",,Yoga,Smart Classrooms
Little Millennium,2008,Play Schools,N/A,Pre School - PRE,Other Boards,tel:+919513238818,33200,"#66, 3rd MN,park Rd, Stage I, Kengeri Satellite Town, Bengaluru, Karnataka 560060",Mr. Raman Bajaj Founder / MBA,Yoga,
Poddar Jumbo Kids,1927,Play Schools,110,Pre School - PRE,Other Boards,tel:+919513238818,35000,"10th Cross Rd, Valagerahalli, Gnanabharathi, Stage II, Kengeri Satellite Town, Bengaluru, Karnataka 560060",,Yoga,
