Name,Since,Category,Strength,Years,Board,Phone No,Fee,Location,Faculty,Sports,Amenities
Vidyarambh,N/A,Play Schools,N/A,Pre School - PRE,Other Boards,tel:+919513238818,50600,"10, 11th Main Rd, Malleshwaram, Bengaluru, Karnataka 560003",,Yoga,
Smart Kidz,2014,Play Schools,,Pre School - PRE,Other Boards,tel:+919513238818,,"39 2, 39/2, Malleshwaram, Bengaluru, Karnataka 560003",A.S. Ganesh Managing Director / N/A,Yoga,
MES Kishore Kendra,1979,Public Schools,N/A,Pre School - 12,State Board,tel:+919513238818,,,,,
Sri Vidya Mandir Educational Society,N/A,Public Schools,N/A,Pre School - 10,State Board,tel:+919513238818,,,,,
The Bangalore Education Society,1934,Public Schools,N/A,Pre School - 12,State Board,tel:+919513238818,,,,,
Gurukul Academy,,N/A,-,,Co-Education,tel:+918035470244,,"Patalamma Layout, V R Extension,
Kadugudi",,,
"Cluny Convent High School, Malleswaram",Public Schools,,Pre School - 10,CBSE,Co-Education,tel:+918035470244,,,,,"Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Garden City Public School,2010,Public Schools,N/A,Pre School - 10,State Board,tel:+918035470244,,"V-61, 6th Cross Road, Pipeline, Malleshwaram, Bengaluru, Karnataka 560003",,,
BrightMinds Preschool,2010,Play Schools,30,Pre School - PRE,Other Boards,tel:+919513238818,35000,"65, 1st Main, 3rd Cross, Chalpathiraju Layout Bethel Nagar Main Road, Seegehalli, Virgonagar, Post, Bengaluru, Karnataka 560049",,Yoga,Transport
Maruthi Vidyalaya,Public Schools,10000+,Pre School - 12,CBSE,Co-Education,tel:+918035470244,,,,"Badminton, Basketball, Boxing, Cycling, Gymnastics, Table-tennis, Volleyball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
St. Vincent Pallotti School,Public Schools,4000+,Pre School - 12,CBSE,Co-Education,tel:+918035470244,,,,"Archery, Athletics, Badminton, Lawn Tennis, Swimming, Table-tennis, Taekwondo, Tennis, Volleyball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
APOMYE PRESCHOOL,2015,Play Schools,N/A,Nursery - UKG,"Montessori, Other",tel:+918035470244,,"609, B.Channasandra Main Rd, OMBR Layout, Banaswadi, Bengaluru, Karnataka 560043",,,
Euro Kids,2001,Play Schools,N/A,Pre School - PRE,Other Boards,tel:+919513238818,45000,"No. 38, 5th Main, Between 7th & 8th Cross, Malleshwaram Near malleshwaram Association, Bengaluru, Karnataka 560003",,Yoga,Smart Classrooms
Poddar Jumbo Kids,1927,Play Schools,55,Pre School - PRE,Other Boards,tel:+919513238818,43000,"#108,19th cross,8th main,Kashi Mutt Road,Malleshwaram, Bengaluru, Karnataka 560055",,Yoga,Transport
Hello Kids,2005,Play Schools,N/A,Pre School - PRE,Other Boards,tel:+919513238818,35000,"#104, 1st A main, East of NGEF layout, Kasturinagar, Near railway over bridge, Bengaluru, Karnataka 560043",,Yoga,
SR PRIME L R INTERNATIONAL SCHOOL,2018,Day Schools,300,Nursery - Class 10,"CBSE, CBSE",tel:+918035470244,70000 / Annual,"Muniswamappa Layout, Vignan Nagar, Doddanekundi, Kaggadasapura, Bengaluru, Karnataka 560075, India",,,Transport
Kids Castle Preschool,2000,Play Schools,N/A,Pre School - PRE,Other Boards,tel:+919513238818,45000,"House No. 28, 6th C Cross Rd, Varsova Layout, Kaggadasapura, Bengaluru, Karnataka 560093","Mrs. Shweta Aneja Founder Director / B.Ed, B.Com, B.SC.",Yoga,Smart Classrooms
Educhamps Play School,2013,Play Schools,60,Pre School - PRE,Other Boards,tel:+919513238818,33000,"24, 6th G Cross Rd, Kaggadasapura, Bengaluru, Karnataka 560093",,Yoga,Smart Classrooms
Hello Kids - Venus Preschool Kaggadasapura,2008,Play Schools,N/A,Nursery - Nursery,"CBSE, ICSE",tel:+919513238818,,"# 337, Nagappa Reddy Layout, Near Laxmi Hospital Kaggadasapura, Nagappareddy Layout, C V Raman Nagar, Bengaluru, Karnataka 560093, India",,,Transport
Hello kids,2005,Play Schools,55,Pre School - PRE,Other Boards,tel:+919513238818,40000,"144/A,6th C Cross Road, Kaggadasapura, C V Raman Nagar, Bengaluru, Karnataka 560093",,Yoga,
Sesame Street Preschool,1969,Other Collections,N/A,Pre School - PRE,Other Boards,tel:+919513238818,40000,"316A, 4th B Cross Road, C.V. Raman Nagar, Kaggadasapura, Bengaluru, Karnataka 560093",,Yoga,
Sri Saraswati Vidhya Mandir,1983,Day Schools,N/A,Nursery - Class 10,State Board,tel:+918035470244,20000 / Annual,"C.V. Raman Nagar, Kaggadasapura, Bengaluru, Karnataka 560093, India",,,Transport
Divya Shanthi High School,1978,Public Schools,N/A,LKG - 10,State Board,tel:+919513238818,10000,"#117/4, Joseph Reddy Layout, Lingarajapuram, Bengaluru, Karnataka 560084",,"Carroms, Chess, Cricket, Football, Kabaddi, Kho-Kho, Tennis, Yoga","Smart Classrooms, Computers Facility"
Hello Kids,2005,Play Schools,50,Pre School - PRE,Other Boards,tel:+919513238818,38000,"35/A, 1st Cross Rd, KSFC Layout, Lingarajapuram, Bengaluru, Karnataka 560084",,Yoga,Transport
Mallya Aditi International School,1984,International Schools,N/A,1 - 12,"ICSE, IGCSE",tel:+919513238818,,"Behind NIPCCD building, RWF West Colony, Yelahanka New Town, Bengaluru, Karnataka 560106",,"Badminton, Basketball, Carroms, Chess, Cricket, Football, Handball, Kabaddi, Lawn Tennis, Tennis, Throwball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Canadian International School,1996,International Schools,2000,LKG - 12,"International Baccalaureate, Cambridge IGCSE",tel:+919513238818,700000,"4 & 20, Manchenahalli, Yelahanka, Bengaluru, Karnataka 560064",Ramani Sastri Chairman / N/A,"Archery, Badminton, Basketball, Carroms, Chess, Cricket, Football, Swimming","Transport, Laboratory, Smart Classrooms, Computers Facility"
Vibgyor High School,2004,Public Schools,480,1 - 8,ICSE,tel:+919513238818,65000,"Survey No. 80/2, 81, Singanayakanahalli Off, Agrahara Layout Main Road, Doddaballapur Rd, Yelahanka, Bengaluru, Karnataka 560064",Rustom Kerawalla Founder Chairman VIBGYOR Group of Schools / N/A,"Basketball, Carroms, Chess, Cricket, Football, Kabaddi, Karate, Kho-Kho, Lawn Tennis, Skating, Swimming, Table-tennis, Throwball, Yoga","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
G.K.Naidu School,2004,Public Schools,N/A,LKG - 10,State Board,tel:+919513238818,45000,"#32, 3rd Main, 4th Cross, 5th Phase, Opp BMTC Bus Stand, Yelahanka New Town, Bengaluru, Karnataka",,"Carroms, Chess, Cricket, Kabaddi, Kho-Kho, Yoga","Transport, Smart Classrooms, Computers Facility"
The HDFC School,N/A,Public Schools,N/A,LKG - 9,CBSE,tel:+919513238818,,"Survey No. 13, Nehru Nagar, Shivanahalli Road, Off, Jakkur - Yelahanka Rd, Bengaluru, Karnataka 560064",Mrs. Parvathy Seshadri Principal / N/A,"Basketball, Carroms, Chess, Cricket, Football, Hockey, Kabaddi, Kho-Kho, Skating, Table-tennis, Tennis, Throwball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Bright Kid Montessori House,2007,International Schools,55,Pre School - PRE,Other Boards,tel:+919513238818,32000,"#726, A Sector, 3rd Phase, 16th Cross, 15th Main Rd, Yelahanka New Town, Bengaluru, Karnataka 560064",,Yoga,Smart Classrooms
Ryan International School,2005,Public Schools,,Pre School - 12,CBSE,tel:+918035470244,,,,"Athletics, Badminton, Basketball, Football, Hockey, Tennis, Throwball, Volleyball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Golden Chariot Public School,2009,Public Schools,600,LKG - 10,State Board,tel:+919513238818,18000,"#55, MS Nagar, Hegdenagar main road, Belahalli cross,Yelahanka, Bengaluru, Karnataka",,"Basketball, Carroms, Chess, Cricket, Football, Kabaddi, Kho-Kho, Yoga","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
The Tree House,N/A,Play Schools,29,Pre School - PRE,Other Boards,tel:+919513238818,26000,"283, 15th A Cross, Yelahanka New town, Bengaluru, Karnataka 560004",,Yoga,
KinderVille International Montessori,2012,"International Schools, Play Schools",N/A,Nursery - UKG,"CBSE, International Baccalaureate, ICSE",tel:+919513238818,,"road, opp. to Haj Bhavan, behind Estadio cricket stadium,  Thirumenahalli, Karnataka 560064, India",,,Transport
Orchids International School,2002,International Schools,,LKG - 7,CBSE,tel:+919513238818,,"Sy #51, Honnenahalli, Yelahanka Hobli, Doddaballapur Rd, North, Taluk, Bengaluru, Karnataka 560064",,,Transport
Kidzee,2003,Play Schools,48,Pre School - PRE,Other Boards,tel:+919513238818,45000,"Kidzee Yelahanka 4th phase 285 Housing board colony, 1st main 7th cross, Self Financed Society 407 Colony, Yelahanka, Bengaluru, Karnataka 560064",Dr. Subhash Chandra Chairman / N/A,Yoga,
Planet Kids,2005,Play Schools,40,Pre School - PRE,Other Boards,tel:+919513238818,45000,"#22, Chokkanahalli,Hegde nagar Main Road, Yelahanka Hobli, Bangalore, Bengaluru, Karnataka 560064","Mr. Amar Kapasi Business Administration / B. Com, Diploma in Business Administration, PG Diploma in Marketing Management",Yoga,
I Play I Learn,2010,Play Schools,40,Pre School - PRE,Other Boards,tel:+919513238818,45000,"14 Sri Giri (SWWC), 1st, 1st A Main Rd, SFS 208 Colony, Yelahanka New Town, Bengaluru, Karnataka 560064, India",,Yoga,
Little Elly Preschool,2004,Play Schools,N/A,Pre School - PRE,Other Boards,tel:+919513238818,40000,"No-42, Karthika, 13th Cross, Manjunatha Layout Shirdi Sai Nagar, Munnekolala, Kundanhalli Gate 1st Parallel Road, Sai Baba Temple Rd, Before, Bengaluru, Karnataka 560037",Mr. Vittal Bhandary Founder / N/A,Yoga,
Charans Public School,1990,Public Schools,N/A,LKG - 12,ICSE,tel:+919513238818,15000,"325, 1st Main Road, Cambridge Layout, Ulsoor, Bengaluru, Karnataka 560008",,"Athletics, Carroms, Chess, Cricket, Kabaddi, Kho-Kho, Yoga","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
Little Elly Preschool,2004,Play Schools,N/A,Pre School - PRE,Other Boards,tel:+919513238818,45000,"#4/5A, 10th Cross Landmark-Near KK Silks, Balagere Rd, Patel Layout, Varthur, Karnataka 560087",Mr. Vittal Bhandary Founder / N/A,Yoga,
Kidzee,2003,Play Schools,N/A,Pre School - PRE,Other Boards,tel:+919513238818,50000,"1st Main Road, Vinayaka Layout, Nagarbhavi 2nd Stage, 9 Block, Nagarbhavi, Bengaluru, Karnataka 560072",Dr. Subhash Chandra Chairman / N/A,Yoga,
Little Millenium,Play Schools,N/A,Pre School - PRE,Other Boards,Co-Education,tel:+919513238818,35000,"No105 , 6th main , 8th block , Malagala main road ,2nd stage , NAGARBHAVI, Bengaluru, Karnataka 560072",,Yoga,Transport
Malgudi Vidyanikethan,2013,Public Schools,N/A,Pre School - 10,CBSE,tel:+918035470244,,"Marilingappa Extension, Naagarabhaavi, Bengaluru, Karnataka 560072",,,Transport
Vidya Vahini School,2005,Day Schools,662,Pre-Nursery - Class 10,CBSE,tel:+918035470244,55000 / Annual,"RHCS Layout, C Block, XGG2+7GR, Srigandadakaval, Vishwaneedam Post, Chandrashekhara Layout, Annapurneshwari Nagar, Bengaluru, Karnataka 560091, India",,,Transport
Balavikas International School,2023,International Schools,N/A,Pre School - 10,ICSE,tel:+918035470244,,"96, 3rd Cross, Vinayaka Layout, Govindaraja Nagar Ward, 9 Block, Naagarabhaavi, Bengaluru, Karnataka 560072",,,Transport
Hymamshu Jyothi Kala Peetha Composite PU College,1942,Public Schools,N/A,LKG - 12,State Board,tel:+919513238818,25000,"Near Murugan Bikes 74 Hymamshu Sastry Road, 4th Main Rd, Malleshwaram, Bengaluru, Karnataka 560055","Dr. G. Ravi Principal / Ph.D., M.sc., B.Ed.","Carroms, Chess, Cricket, Hockey, Kabaddi, Kho-Kho, Tennis, Yoga","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
Kidzee,2003,Play Schools,85,Pre School - PRE,Other Boards,tel:+919513238818,55000,"2, 12th Cross, 6th Main Near Vidyamandir Shool, Bengaluru, Karnataka 560003",Dr. Subhash Chandra Chairman / N/A,Yoga,
SUBHASH MEMORIAL ENGLISH SCHOOL,1969,Other Collections,N/A,Nursery - 10,State Board,tel:+918035470244,,"2ND CROSS MODEL LAYOUT, DEVARAJEEVANAHALLI",,,
