Name,Since,Category,Strength,Years,Board,Phone No,Fee,Location,Faculty,Sports,Amenities
Vibgyor High School,2004,International Schools,N/A,LKG - 12,"ICSE, IGCSE",tel:+919513238818,,"58/ 1, Thubarahalli Whitefield Road Behind Sriram Samriddhi Apartment, Bengaluru, Karnataka 560066",Rustom Kerawalla Founder Chairman VIBGYOR Group of Schools / N/A,"Badminton, Basketball, Carroms, Chess, Cricket, Football, Gymnastics, Hockey, Kabaddi, Kho-Kho, Skating, Swimming, Table-tennis, Tennikoit, Throwball, Volleyball, Yoga","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
Genius Global School,N/A,International Schools,N/A,LKG - 10,CBSE,tel:+919513238818,24000,"3rd Cross left Rd, Tulasi Theatre Road, Marathahalli, Bengaluru, Karnataka 560037",,"Athletics, Basketball, Carroms, Chess, Cricket, Football, Hockey, Kabaddi, Kho-Kho, Table-tennis, Yoga","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
Sri Chaitanya School,2015,Other Collections,N/A,Pre School - 10,CBSE,tel:+918035470244,,,,,Transport
Vagdevi Vilas School,2004,Other Collections,N/A,Pre School - 12,CBSE,tel:+918035470244,,,,,Transport
Serra International Preschool,N/A,Play Schools,35,Pre School - PRE,Other Boards,tel:+919513238818,70000,"#73, Krishna, LRDE Housing Colony, Karthik Nagar, Doddanekundi Village, Marathahalli (Outer Ring Road), Bengaluru, Karnataka 560037","Arun Arora Co-founder, Edvance Group of Schools / N/A",Yoga,
Vivero International Preschool,Play Schools,N/A,Pre School - PRE,Other Boards,Co-Education,tel:+919513238818,,"Tower B, Ground Floor, Global Technology Park, Near RMZ Ecospace, Marathahalli Outer Ring Road, Devarabisanahalli, Bellandur, Bengaluru, Karnataka 560103","Arun Arora Chairman, Edvance Pre-Schools / N/A",Yoga,
HAL GNANAJYOTI SCHOOL,Day Schools,N/A,Nursery - Class 10,ICSE,Co-Education,tel:+918035470244,120000 / Annual,"GBJ 195, New Township, 3rd Main Rd, 7th Cross Rd, Jawahar Nagar, HAL, Bengaluru, Karnataka 560037, India",,,Transport
Maple Bear Canadian Preschool,2011,Play Schools,N/A,Pre School - PRE,Other Boards,tel:+919513238818,52000,"42, Sameeksha Sadan, 3rd Cross, Sai Baba Temple Rd, Green Garden Layout, Shirdi Sai Nagar, Munnekollal, Bengaluru, Karnataka 560037",Mr. Alok Modi Chairman / N/A,Yoga,Transport
Bachpan Play School,2004,Play Schools,100,Pre School - PRE,Other Boards,tel:+919513238818,45000,"321, 8th Cross, KPCL Layout, Kasavanahalli Opp. Lane to Lacasa Hotel, Off, Sarjapur Main Rd, Bengaluru, Karnataka 560035",MR. S.K GUPTA Chairman / N/A MR. KRISHAN SHARMA Vice President (VP) / N/A,Yoga,"Transport, Smart Classrooms"
Maple Bear Canadian Pre School,2011,Other Collections,N/A,Pre School - PRE,Other Boards,tel:+919513238818,50000,"Rd, nextto La Casa restaurant,, 5, Lakeshore Homes Rd, IAS Layout, Eastwood Twp, Kasavanahalli, Karnataka 560035",Mr. Alok Modi Chairman / N/A,Yoga,Transport
Little Millennium,2008,Play Schools,N/A,Pre School - PRE,State Board,tel:+919513238818,40000,"#297 ,8th cross, Kpc Layout, Kasavanahalli Main Road, Off Sarjapur Road, Bengaluru, Karnataka 560035",Mr. Raman Bajaj Founder / MBA,Yoga,
Sanfort Play School,1999,Play Schools,N/A,Pre School - PRE,Other Boards,tel:+919513238818,35000,"House No-12,Jubilee Layout,Behind Lacasa Restaurant Kasavanahalli,Carmlaram, Bengaluru, Karnataka 560035",Dr. S. K. Rathor Chairman & Managing Director / N/A,Yoga,
M.V.J. International School,2010,Day Schools,350,Nursery - Class 10,CBSE,tel:+918035470244,95000 / Annual,"Chowdeshwari Temple St, Marathahalli Village, Marathahalli, Bengaluru, Karnataka 560037, India",,,Transport
Ravindra Bharathi Global School,2012,Day Schools,472,Nursery - Class 10,CBSE,tel:+918035470244,73800 / Annual,"7th Cross, 92/1, Tulsi Theater Rd, Marathahalli Village, Marathahalli, Bengaluru, Karnataka 560037, India",,,Transport
GENIUS GLOBAL SCHOOL,Day Schools,N/A,Nursery - Class 10,CBSE,Co-Education,tel:+918035470244,38000 / Annual,"3rd Cross, left Rd, Tulsi Theater Rd, Marathahalli Village, Marathahalli, Bengaluru, Karnataka 560037, India",,,Transport
Kaveri Gnana Mithra School,2003,Day Schools,750,Nursery - Class 10,State Board,tel:+918035470244,24000 / Annual,"9th Main Rd, Kaveri Layout, Marathahalli Village, Marathahalli, Bengaluru, Karnataka 560037, India",,,Transport
Kids Global School,1999,Day Schools,N/A,Nursery - Class 10,"State Board, ICSE",tel:+918035470244,30000 / Annual,"473, Chowdeshwari Temple Rd, HAL Central Township, C T Street, Marathahalli, Bengaluru, Karnataka 560037, India",,,Transport
Sri Chaitanya School,2011,Day Schools,N/A,LKG - Class 7,CBSE,tel:+918035470244,72000 / Annual,"House No : 86/1c, Near, SGR Dental College Rd, Marathahalli Village, Munnekollal, Bengaluru, Karnataka 560037, India",,,Transport
NavaPrajna Public School,2006,Day Schools,N/A,Nursery - Class 10,CBSE,tel:+918035470244,43000 / Annual,"Navjaeevan Nilaya Complex, Airport, Whitefield Rd, Vaikuntam Layout, Lakshminarayana Pura, Marathahalli, Bengaluru, Karnataka 560037, India",,,Transport
EuroKids Pre-School Brookefield Kundalahalli Marathalli,2001,Play Schools,N/A,Pre School - UKG,CBSE,tel:+918035470244,,"No. 188, Om Enterprises, A Block AECS Layout, near Canara Bank, Kundalahalli, Brookefield, Bengaluru, Karnataka 560037",,,
GJR International School,2018,International Schools,N/A,Nursery - 12,"CBSE, International Baccalaureate",tel:+918035470244,,"1, 1 & 1/2, Chinnappanahalli, near AECS Layout, Chennappa Layout, Marathahalli",,,
The Brilliant School,1991,Day Schools,62,Nursery - Class 10,State Board,tel:+918035470244,50000 / Annual,"No. 2/1, L.N.Pura, gate, Kundalahalli Main Rd, near Kundalahalli, E Block, AECS Layout, Munnekollal, Bengaluru, Karnataka 560037, India",,,Transport
THE BRILLIANT SCHOOL,1991,Day Schools,N/A,Nursery - Class 10,"ICSE, State Board",tel:+918035470244,35000 / Annual,"XMM4+JX7, Byrasandra Extension, Suddaguntapalya, C V Raman Nagar, Bengaluru, Karnataka 560093, India",,,Transport
