Name,Since,Category,Strength,Years,Board,Phone No,Fee,Location,Faculty,Sports,Amenities
East West Academy,2009,International Schools,N/A,LKG - 10,"ICSE, State Board",tel:+919513238818,27000,"No.03, Near Bhashyam Circle Beauty Spot Park,, 63rd & 64th Cross, 5th Block,, 64th Cross Road, Rajajinagar, Bengaluru, Karnataka 560010",Mrs. Deepanjali Naik Principal / N/A,"Athletics, Basketball, Carroms, Chess, Cricket, Football, Hockey, Kabaddi, Kho-Kho, Tennis, Yoga","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
Sri Vani Education Centre,1966,Public Schools,,Pre School - 12,"CBSE, International Baccalaureate, ICSE",tel:+918035470244,,,,"Athletics, Badminton, Basketball, Boxing, Carroms, Chess, Checkers, Cycling, Swimming, Tennis, Volleyball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Vidya Vardhaka Sangha,1969,Public Schools,1600,Pre School - 12,CBSE,tel:+918035470244,,,,"Badminton, Basketball, Boxing, Cycling, Lawn Tennis, Table-tennis, Tennis, Throwball, Volleyball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
KLE Society School,1984,Public Schools,N/A,LKG - 10,CBSE,tel:+919513238818,60000,"Rajajinagar, 12th Main Rd, 2nd Block, 2nd Stage, Rajajinagar, Bengaluru, Karnataka 560010",Dr. preeti Dodwad co-ordinator / N/A Dr. Prabhakar Kore Chairman / N/A,"Athletics, Basketball, Carroms, Chess, Cricket, Kabaddi, Kho-Kho, Skating, Swimming, Tennis, Yoga","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
Venus International Public School,1995,Public Schools,,Pre School - PRE,ICSE,tel:+918035470244,,,,"Athletics, Badminton, Basketball, Cricket, Football, Gymnastics, Table-tennis, Tennis, Volleyball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Venkat International Public School,"International Schools, Public Schools",,Pre School - 12,CBSE,Co-Education,tel:+918035470244,,,,,"Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Euro kids,2001,Play Schools,100,Pre School - PRE,Other Boards,tel:+919513238818,50000,"Eurokids Rajajinagar #1035, Dr Raj Kumar Road, 4th Block Near Golden Heights Mall, Rajajinagar, Bengaluru, Karnataka 560010",,Yoga,"Transport, Smart Classrooms"
Orchids International School,2010,International Schools,,Pre School - 8,CBSE,tel:+919513238818,,"7, 3rd cross, 14th main, Post:, Prakash Nagar, Srirampura, Bengaluru, Karnataka 560021",,"Badminton, Carroms, Chess, Cricket","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
St. Mira's High School,1973,Public Schools,N/A,Pre School - 12,CBSE,tel:+918035470244,,,,"Athletics, Badminton, Basketball, Billiards, Cycling, Tennis, Throwball, Volleyball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Spruha Virtual school,na,Other Collections,N/A,1 - 10,CBSE,tel:+918035470244,,"First Block, 135, 19th Main Rd, 2nd Block, Rajajinagar, Bengaluru, Karnataka 560010",,,
Kidzee,2003,Play Schools,N/A,Pre School - PRE,Other Boards,tel:+919513238818,40000,"49/23, 19th Main Rd, 2nd Block, Rajajinagar, Bengaluru, Karnataka 560010",Dr. Subhash Chandra Chairman / N/A,Yoga,
Hello Kids,2005,Play Schools,55,Pre School - PRE,Other Boards,tel:+919513238818,35000,"210, 3rd D Cross Rd, 3 Stage, Basaveshwar Nagar, 3rd Stage, Rajajinagar, Bengaluru, Karnataka 560079",,Yoga,Smart Classrooms
Poddar Jumbo Kids,1927,Play Schools,85,Pre School - PRE,Other Boards,tel:+919513238818,41000,"176/Y, 13 Main, Near, Bashyam Circle, 3rd Block, Rajajinagar, Bengaluru, Karnataka 560010",,Yoga,
