Name,Since,Category,Strength,Years,Board,Phone No,Fee,Location,Faculty,Sports,Amenities
National Public School,1982,Public Schools,N/A,LKG - 12,CBSE,tel:+919513238818,138000,"12th A Main Rd, HAL 2nd Stage, Indiranagar, Bengaluru, Karnataka 560008",Dr. K. P. Gopalkrishna Chairman / N/A,"Badminton, Basketball, Carroms, Chess, Cricket, Football, Hockey, Kabaddi, Kho-Kho, Skating, Table-tennis, Throwball, Yoga","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
National Centre for Excellence,2017,Other Collections,,Pre School - 10,Public Schools,tel:+919513238818,"2,00,000/- Annually","1054/2, 7th main, 11th cross, lic colony, next to murugan temple, jeevan bhima nagar, Bengaluru – 560075.",,"Badminton, Basketball, Carroms, Chess, Football, Table-tennis, Throwball, Volleyball","Transport, Smart Classrooms, Computers Facility, Library"
Little Elly Preschool,2004,Play Schools,70,Pre School - PRE,Other Boards,tel:+919513238818,54800,"# 289, 6th Main, 4th Cross Rd, HAL 3rd Stage, Indiranagar, Bengaluru, Karnataka 560075",Mr. Vittal Bhandary Founder / N/A,Yoga,
Euro Kids,2001,Play Schools,N/A,Pre School - PRE,Other Boards,tel:+919513238818,45000,"1190, 13th Main, Behind New Horizon School Opposite Post Office, Indiranagar, Bengaluru, Karnataka 560008",,Yoga,Smart Classrooms
SSB International School,1978,Public Schools,,Pre School - 12,CBSE,tel:+918035470244,,,,"Athletics, Badminton, Basketball, Billiards, Boxing, Chess, Cricket, Cycling, Football, Golf, Hockey, Table-tennis, Tennis, Volleyball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Angela Royes Child Development Center,1997,Play Schools,60,Pre School - PRE,Other Boards,tel:+919513238818,20000,"479, 3rd Cross, 11th Main Rd, HAL 2nd Stage, Indiranagar, Bengaluru, Karnataka 560008",,Yoga,"Transport, Smart Classrooms"
Kidzee,2003,Play Schools,N/A,Pre School - PRE,Other Boards,tel:+919513238818,50000,"658, 17th H Main Rd, Indiranagar, 6th Block, Koramangala, Bengaluru, Karnataka 560095",Dr. Subhash Chandra Chairman / N/A,Yoga,Smart Classrooms
The Tree House,N/A,Play Schools,N/A,Pre School - PRE,Other Boards,tel:+919513238818,,"45, 1st Cross Rd, Indiranagar, Motappapalya, Wilson Garden, Bengaluru, Karnataka 560042",,Yoga,
Vivero International Preschool,Play Schools,N/A,Pre School - PRE,Other Boards,Co-Education,tel:+919513238818,,"3793, 7th Main Road, 4th Cross, HAL 2nd Stage, Motappapalya, Indiranagar, Bengaluru, Karnataka 560038","Arun Arora Chairman, Edvance Pre-Schools / N/A",Yoga,
The Learning Curve,2011,Play Schools,,Pre School - PRE,Other Boards,tel:+919513238818,,"540, 4th Cross Rd, Hal, HRBR Layout 2nd Block, Near, Indiranagar, Bengaluru, Karnataka 560038",Suhas Bedekar Founder Director / N/A,Yoga,
Kara4Kids,Public Schools,,Pre School - 3,CBSE,Co-Education,tel:+918035470244,,,,"Badminton, Gymnastics, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Planet Kids,2005,Play Schools,,Pre School - PRE,Other Boards,tel:+919513238818,,"#250, 1st Main Rd, Defence Colony, Indiranagar, Bengaluru, Karnataka 560038","Mr. Amar Kapasi Business Administration / B. Com, Diploma in Business Administration, PG Diploma in Marketing Management",Yoga,
