Name,Since,Category,Strength,Years,Board,Phone No,Fee,Location,Faculty,Sports,Amenities
Bethany High School,1963,International Schools,3250,LKG - 12,ICSE,tel:+919513238818,120000,"CA -12, 20th Main, Koramangala, Next to Koramangala Police station, Bengaluru, Karnataka 560095",Dr. Akash Ryall Director / N/A,"Carroms, Chess, Cricket, Football, Kabaddi, Kho-Kho, Table-tennis, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
St. Francis School ICSE,2003,Public Schools,N/A,1 - 12,ICSE,tel:+919513238818,150000,"3417, 3rd Block, 8th Main Rd, Koramangala, Bengaluru, Karnataka 560034",,"Badminton, Basketball, Carroms, Chess, Cricket, Football, Hockey, Kabaddi, Kho-Kho, Lawn Tennis, Table-tennis, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
National Public School,2003,International Schools,N/A,LKG - 12,CBSE,tel:+919513238818,130000,"National Games Village Complex, 80 Feet Rd, Koramangala, Bengaluru, Karnataka 560047",Dr. K. P. Gopalkrishna Chairman / N/A,"Athletics, Basketball, Carroms, Chess, Cricket, Football, Hockey, Kabaddi, Karate, Kho-Kho, Lawn Tennis, Skating, Table-tennis, Throwball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
B Mona High School,1983,Public Schools,N/A,LKG - 10,CBSE,tel:+919513238818,25000,"77, 3rd Cross Rd, KHB Block Koramangala, 5th Block, Koramangala, Bengaluru, Karnataka 560095",LATE RANGASWAMY RAMAKRISHNAIAH FOUNDER / N/A,"Athletics, Basketball, Carroms, Chess, Cricket, Football, Kabaddi, Kho-Kho, Table-tennis, Yoga","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
Indus Early Learning Centre,2015,Play Schools,70,Pre School - PRE,Other Boards,tel:+919513238818,250000,"537/A, 1st Cross, 8th A Main, Near Raheja Residency Apartments, Koramangala 4th Block, Bengaluru, Karnataka 560034",Arjun Ray CEO / N/A,Yoga,"Transport, Smart Classrooms"
Head Start Montessori House of Children,1984,Play Schools,N/A,Pre School - PRE,Other Boards,tel:+919513238818,100000,"32(P), 16th Main Road, 4th Block, Koramangala, Bengaluru, Karnataka 560034",,Yoga,Smart Classrooms
Bachpan Play School,2004,Play Schools,90,LKG - UKG,Other Boards,tel:+919513238818,53000,"No: 289, 19th Main, Near NGV Gate/Behind Police Station, 6th Block, Koramangala, Bengaluru, Karnataka 560095",MR. S.K GUPTA Chairman / N/A MR. KRISHAN SHARMA Vice President (VP) / N/A,Yoga,"Transport, Smart Classrooms"
Carmel Garden Public School,1993,Public Schools,N/A,LKG - 10,State Board,tel:+919513238818,50000,"No. 8, 4th Ave St, Teacher's Colony, Jakkasandra, 1st Block Koramangala, Koramangala, Bengaluru, Karnataka 560034","Nirmal Ravi Director, CGPS / N/A","Athletics, Basketball, Carroms, Chess, Cricket, Kabaddi, Karate, Kho-Kho, Yoga","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
Greenwood High Pre School,2004,Play Schools,N/A,Pre School - UKG,Other Boards,tel:+919513238818,130000,"377, Sarjapur Road, Koramangala 3rd Block, Bengaluru, 560034",Mr. Bijay Kumar Agarwal Chairman / N/A,Yoga,"Transport, Smart Classrooms"
DBM & RJS School,1977,Public Schools,1120,LKG - 10,CBSE,tel:+919513238818,30000,"3rd Block, 16th Main, Near BDA Complex, Koramangala 1A Block, SBI Colony, Koramangala, Bengaluru, Karnataka 560034",,"Athletics, Basketball, Carroms, Chess, Cricket, Kabaddi, Kho-Kho, Yoga","Transport, Laboratory, Smart Classrooms, Computers Facility"
