Name,Since,Category,Strength,Years,Board,Phone No,Fee,Location,Faculty,Sports,Amenities
Inventure Academy,2005,International Schools,N/A,LKG - 12,"ICSE, IGCSE",tel:+919513238818,300000,"Whitefield â€“ Sarjapur Road, Chikkavaderapura, Near Dommasandra Circle, Bengaluru, Karnataka 562125",Mr. Razack CHAIRMAN AND CO-FOUNDER / N/A Meenakshi Myer Principal / B.Ed,"Badminton, Basketball, Carroms, Chess, Cricket, Hockey, Kabaddi, Kho-Kho, Swimming, Table-tennis, Tennis, Throwball, Yoga","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
The Deens Academy,2006,Public Schools,N/A,LKG - 12,CBSE,tel:+919513238818,105000,"No. 64/1 & 65/2, ECC Rd, Dodsworth Layout, Whitefield, Bengaluru, Karnataka 560066",Ms. Shanthi Menon Principal / N/A,"Carroms, Chess, Cricket, Kabaddi, Karate, Kho-Kho, Skating, Swimming, Tennis, Yoga","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
Delhi Public School,2001,International Schools,N/A,LKG - 12,CBSE,tel:+919513238818,79200,"No 174, Hagadur Main Road, Near Forum Value Mall, Whitefield, Bengaluru, Karnataka 560066",Ms. Kamava Bopana Principal / N/A,"Athletics, Basketball, Carroms, Chess, Cricket, Football, Swimming, Yoga","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
Vydehi School of Excellence,2010,Public Schools,800,LKG - 12,CBSE,tel:+919513238818,120000,"Vydehi Campus, 82, EPIP Zone, Whitefield, Bengaluru, Karnataka 560066",,"Badminton, Basketball, Carroms, Chess, Cricket, Football, Hockey, Kabaddi, Kho-Kho, Tennis, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Glentree Academy - Whitefield,2015,Public Schools,900,Pre School - 11,CBSE,tel:+919513238818,1 Lakh to 1.6 Lakh,"Nallurhalli Road, Palm Meadows, Nallurhalli, Whitefield, Bengaluru, Karnataka - 560066",Rizwana Reddy PRINCIPAL / N/A,"Athletics, Basketball, Carroms, Chess, Cricket, Football, Kabaddi, Kho-Kho, Table-tennis, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
ABVK School,1990,Public Schools,1000,LKG - 10,State Board,tel:+919513238818,22000,"Immadhalli ROAD,KEB Colony, Vinayaka Layout, WHITEFIELD, Bengaluru, Karnataka - 560066.",,"Athletics, Carroms, Chess, Cricket, Football, Gymnastics, Kabaddi, Kho-Kho, Yoga","Transport, Medical Facility, Laboratory, Computers Facility, Library"
Maple Bear Canadian PreSchool,2011,Play Schools,N/A,Pre School - PRE,Other Boards,tel:+919513238818,60000,"No. 14, IAS House, Subbarao Compound, White Field Main Road, Opposite To Ganesha Temple, White Field, Bengaluru, Karnataka 560066",Mr. Alok Modi Chairman / N/A,Yoga,
National Public School,2003,Public Schools,N/A,LKG - 8,CBSE,tel:+919513238818,140000,"KG&S and SRB Gurukul, Kumbena Agrahara, Kadugodi, Post, Whitefield, Bengaluru, Karnataka 560067",Dr. K. P. Gopalkrishna Chairman / N/A,"Basketball, Chess, Cricket, Football, Hockey, Kabaddi, Kho-Kho, Skating, Swimming, Tennis, Throwball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Whitefield Global School,2008,Public Schools,N/A,LKG - 12,CBSE,tel:+919513238818,154000,"KRS Garden, Channasandra Main Road, near Hope Farm Circle, Whitefield, Bengaluru, Karnataka 560066",Dr. C. Purna Chandra Rao Chairman / N/A Mrs. Sarada Chandrasekaran Director / N/A,"Badminton, Basketball, Carroms, Chess, Cricket, Football, Handball, Hockey, Kabaddi, Karate, Kho-Kho, Lawn Tennis, Skating, Table-tennis, Tennis, Throwball, Volleyball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Bangalore International Academy Whitefield,2018,International Schools,,Pre School - 10,CBSE,tel:+919513238818,"1,00,000 - 2,00,000","265/3, Samethanahalli, IOCL Road, Opp Soukya International Holistic Health Centre, Dodda Dunnasandra, Post, Whitefield, Bengaluru, Karnataka 560067, India",,,Transport
Footprints Preschool & Day Care,2012,Play Schools,100,Pre School - PRE,Other Boards,tel:+919513238818,77988,"No 1/A1, Whitefield Main Rd, near Royalmart SuperMarket, D'Silva Layout, Bengaluru, Karnataka 560066, India",Raj Singhal CEO / B.Tech,Yoga,Smart Classrooms
Holy Cross School and PU College,2002,Public Schools,N/A,LKG - 10,CBSE,tel:+919513238818,51000,"Abhayadhama Road, Pattandur Agrahara, Whitefield, Whitefield, Bengaluru, Karnataka 560066",K. JOHN JOSEPH CHAIRMAN / N/A,"Athletics, Basketball, Carroms, Chess, Cricket, Football, Handball, Kabaddi, Kho-Kho, Table-tennis, Tennis, Throwball, Yoga","Medical Facility, Laboratory, Computers Facility, Library"
The Foundation School,2009,Play Schools,200,Pre School - PRE,Other Boards,tel:+919513238818,85000,"489/14, 3rd Cross Rd, Borewell Rd, Whitefield, Bengaluru, Karnataka 560066",,Yoga,"Transport, Smart Classrooms"
Basil Woods Preschool Academy,2016,Play Schools,N/A,Pre School - PRE,Other Boards,tel:+919513238818,80000,"152, ECC Rd, Dodsworth Layout, Whitefield, Bengaluru, Karnataka 560066",Shri Madhu Pandit Dasa Chairman / N/A,Yoga,"Transport, Smart Classrooms"
Vivero International Preschool,Play Schools,N/A,Pre School - PRE,Other Boards,Co-Education,tel:+919513238818,,"7, Borewell Rd, Nallurhalli, Whitefield, Bengaluru, Karnataka 560066","Arun Arora Chairman, Edvance Pre-Schools / N/A",Yoga,
Global Indian International School,2013,Public Schools,,Pre School - 12,CBSE,tel:+918035470244,"2,00,000 - 4,00,000","No-5,6,8 Heggondahalli Village, Whitefield Sarjapur Main Road, Gunjur Post, Bangalore-560087 (Karnataka)",Mr. Atul Temurnikar Chairman and Co-Founder / .,"Athletics, Badminton, Basketball, Carroms, Chess, Cricket, Football, Gymnastics, Lawn Tennis, Table-tennis, Volleyball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Chrysalis Kids,N/A,Play Schools,N/A,Pre School - PRE,Other Boards,tel:+919513238818,120000,"3 & 4, behind Food World, Giddens Layout, Whitefield, Bengaluru, Karnataka 560066, India",Mr. Sawal Das Founder / N/A,Yoga,"Transport, Smart Classrooms"
KiDeens,2006,Play Schools,N/A,Pre School - PRE,Other Boards,tel:+919513238818,130000,"7, 8 & 9,, 7, 8 & 9, Whitefield, Bengaluru, Karnataka 560066",KiDeens Team Whitefield Teachers / N/A,Yoga,
Greenwood High Pre School,2004,Play Schools,N/A,Pre School - PRE,Other Boards,tel:+919513238818,150000,"No. 57/72, Erin Villa, Whitefield Main Rd, Bengaluru, Karnataka 560066",Mr. Bijay Kumar Agarwal Chairman / N/A,Yoga,"Transport, Smart Classrooms"
Samskrithi Academy,2005,Other Collections,N/A,Pre School - 5,Other Boards,tel:+918035470244,,,,,Transport
Indus Early Learning Centre,2011,Play Schools,N/A,LKG - UKG,Other Boards,tel:+919513238818,300000,"132, ECC Road 3 & 4, Dodsworth Layout, Whitefield, Bengaluru, Karnataka 560066",Arjun Ray CEO / N/A,Yoga,"Transport, Smart Classrooms"
One World International School,2013,International Schools,N/A,LKG - 12,International Baccalaureate,tel:+918035470244,,"Goravigere Main Road Goravigere, Whitefield, Sannatammanahalli, Bengaluru, Karnataka 560067, India",,,Transport
Kidzee,2003,Play Schools,85,Pre School - PRE,Other Boards,tel:+919513238818,62000,"No. 6 Green Park Opposite DTDC courier/Food World., Whitefield Main Rd, Whitefield, Bengaluru, Karnataka 560066",Dr. Subhash Chandra Chairman / N/A,Yoga,
EKYA School ITPL,2010,Public Schools,N/A,Pre School - 12,CBSE,tel:+918035470244,,"2851, ITPL Bypass Road Doddanekkundi, Extension, Friends Layout, Bengaluru, Karnataka 560037",,,
Pragathi The School,2001,Other Collections,N/A,Pre School - 12,Other Boards,tel:+918035470244,,"Srr Layout, 6th Cross Rd, A Narayanapura, Mahadevapura, Bengaluru, Karnataka 560016",,,
"Jain Heritage School, Whitefield",2021,Day Schools,500,Pre-Nursery - Class 7,CBSE,tel:+918035470244,150000 / Annual,"survey no 190 kannamangala village, bidarahalli, hobli, Whitefield, Ardendale, Kannamangala, Bengaluru, Karnataka 560067, India",,,Transport
Hello Kids,2005,Play Schools,150,Pre School - PRE,Other Boards,tel:+919513238818,30000,"No. 93, 2nd Cross Rd, near Hope Farm, Ist Main, Prasanth Extension, Whitefield, Bengaluru, Karnataka 560066",,Yoga,"Transport, Smart Classrooms"
Sesame Street Preschool,1969,Play Schools,N/A,Pre School - PRE,Other Boards,tel:+919513238818,45000,"263, Bhuvneshwari Road, Opp Svastha Hospital, Whitefield, Bengaluru, Karnataka 560066",,Yoga,
Little Millennium,2008,Play Schools,N/A,Pre School - PRE,Other Boards,tel:+919513238818,40000,"412, Outer Circle, Road, Dodsworth Layout, Whitefield, Bengaluru, Karnataka 560066",Mr. Raman Bajaj Founder / MBA,Yoga,
Serra International Preschool,N/A,Play Schools,N/A,Pre School - PRE,Other Boards,tel:+919513238818,60000,"#311 AECS Layout, B Block, Kundalahalli, Whitefield, Bengaluru, Karnataka 560037","Arun Arora Co-founder, Edvance Group of Schools / N/A",Yoga,
Smart Kidz,2014,Play Schools,,Pre School - PRE,Other Boards,tel:+919513238818,,"Smartkidz Preschool Whitefield, # 6 Giddens Layout, 1st Crossâ€‹, Whitefield Main Rd, behind Easy Day, Whitefield, Bengaluru, Karnataka 560066",A.S. Ganesh Managing Director / N/A,Yoga,
The Learning Curve,2011,Play Schools,,Pre School - PRE,Other Boards,tel:+919513238818,,"48/242/1, 181 Borewell road, Whitefield Main Rd, near Post Office, Whitefield, Bengaluru, Karnataka 560066",Suhas Bedekar Founder Director / N/A,Yoga,
Winmore Academy Whitefield,2019,Day Schools,N/A,Pre-Nursery - Class 9,CBSE,tel:+918035470244,84000 / Annual,"Survey No 13/1, Bhaktharahalli Village, Bengaluru, Karnataka 560067, India",,,Transport
Poddar Jumbo Kids,1927,Play Schools,N/A,Pre School - PRE,Other Boards,tel:+919513238818,50000,"66, Borewell Rd, Dodsworth Layout, Whitefield, Bengaluru, Karnataka 560066",,Yoga,
Kai Early Years,2019,Play Schools,N/A,Nursery - 1,"International Baccalaureate, Montessori",tel:+918035470244,,"2nd Main Road, Whitefield, Nallurhalli, Bengaluru, Karnataka, India",,,
