Name,Since,Category,Strength,Years,Board,Phone No,Fee,Location,Faculty,Sports,Amenities
Mallya Aditi International School,1984,International Schools,N/A,1 - 12,"ICSE, IGCSE",tel:+919513238818,,"Behind NIPCCD building, RWF West Colony, Yelahanka New Town, Bengaluru, Karnataka 560106",,"Badminton, Basketball, Carroms, Chess, Cricket, Football, Handball, Kabaddi, Lawn Tennis, Tennis, Throwball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Canadian International School,1996,International Schools,2000,LKG - 12,"International Baccalaureate, Cambridge IGCSE",tel:+919513238818,700000,"4 & 20, Manchenahalli, Yelahanka, Bengaluru, Karnataka 560064",Ramani Sastri Chairman / N/A,"Archery, Badminton, Basketball, Carroms, Chess, Cricket, Football, Swimming","Transport, Laboratory, Smart Classrooms, Computers Facility"
Vibgyor High School,2004,Public Schools,480,1 - 8,ICSE,tel:+919513238818,65000,"Survey No. 80/2, 81, Singanayakanahalli Off, Agrahara Layout Main Road, Doddaballapur Rd, Yelahanka, Bengaluru, Karnataka 560064",Rustom Kerawalla Founder Chairman VIBGYOR Group of Schools / N/A,"Basketball, Carroms, Chess, Cricket, Football, Kabaddi, Karate, Kho-Kho, Lawn Tennis, Skating, Swimming, Table-tennis, Throwball, Yoga","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
G.K.Naidu School,2004,Public Schools,N/A,LKG - 10,State Board,tel:+919513238818,45000,"#32, 3rd Main, 4th Cross, 5th Phase, Opp BMTC Bus Stand, Yelahanka New Town, Bengaluru, Karnataka",,"Carroms, Chess, Cricket, Kabaddi, Kho-Kho, Yoga","Transport, Smart Classrooms, Computers Facility"
The HDFC School,N/A,Public Schools,N/A,LKG - 9,CBSE,tel:+919513238818,,"Survey No. 13, Nehru Nagar, Shivanahalli Road, Off, Jakkur - Yelahanka Rd, Bengaluru, Karnataka 560064",Mrs. Parvathy Seshadri Principal / N/A,"Basketball, Carroms, Chess, Cricket, Football, Hockey, Kabaddi, Kho-Kho, Skating, Table-tennis, Tennis, Throwball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Bright Kid Montessori House,2007,International Schools,55,Pre School - PRE,Other Boards,tel:+919513238818,32000,"#726, A Sector, 3rd Phase, 16th Cross, 15th Main Rd, Yelahanka New Town, Bengaluru, Karnataka 560064",,Yoga,Smart Classrooms
Ryan International School,2005,Public Schools,,Pre School - 12,CBSE,tel:+918035470244,,,,"Athletics, Badminton, Basketball, Football, Hockey, Tennis, Throwball, Volleyball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Golden Chariot Public School,2009,Public Schools,600,LKG - 10,State Board,tel:+919513238818,18000,"#55, MS Nagar, Hegdenagar main road, Belahalli cross,Yelahanka, Bengaluru, Karnataka",,"Basketball, Carroms, Chess, Cricket, Football, Kabaddi, Kho-Kho, Yoga","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
The Tree House,N/A,Play Schools,29,Pre School - PRE,Other Boards,tel:+919513238818,26000,"283, 15th A Cross, Yelahanka New town, Bengaluru, Karnataka 560004",,Yoga,
KinderVille International Montessori,2012,"International Schools, Play Schools",N/A,Nursery - UKG,"CBSE, International Baccalaureate, ICSE",tel:+919513238818,,"road, opp. to Haj Bhavan, behind Estadio cricket stadium,  Thirumenahalli, Karnataka 560064, India",,,Transport
Orchids International School,2002,International Schools,,LKG - 7,CBSE,tel:+919513238818,,"Sy #51, Honnenahalli, Yelahanka Hobli, Doddaballapur Rd, North, Taluk, Bengaluru, Karnataka 560064",,,Transport
Kidzee,2003,Play Schools,48,Pre School - PRE,Other Boards,tel:+919513238818,45000,"Kidzee Yelahanka 4th phase 285 Housing board colony, 1st main 7th cross, Self Financed Society 407 Colony, Yelahanka, Bengaluru, Karnataka 560064",Dr. Subhash Chandra Chairman / N/A,Yoga,
Planet Kids,2005,Play Schools,40,Pre School - PRE,Other Boards,tel:+919513238818,45000,"#22, Chokkanahalli,Hegde nagar Main Road, Yelahanka Hobli, Bangalore, Bengaluru, Karnataka 560064","Mr. Amar Kapasi Business Administration / B. Com, Diploma in Business Administration, PG Diploma in Marketing Management",Yoga,
I Play I Learn,2010,Play Schools,40,Pre School - PRE,Other Boards,tel:+919513238818,45000,"14 Sri Giri (SWWC), 1st, 1st A Main Rd, SFS 208 Colony, Yelahanka New Town, Bengaluru, Karnataka 560064, India",,Yoga,
Vidyashilp Academy,N/A,Public Schools,N/A,LKG - 12,"ICSE, IGCSE",tel:+919513238818,,"Survey No. 1 & 31, Govindapura, behind Yelahanka Air Force Base, Yelahanka, Bengaluru, Karnataka 560064",,"Basketball, Carroms, Chess, Cricket, Football, Hockey, Kabaddi, Kho-Kho, Table-tennis, Tennikoit, Tennis, Throwball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Euro kids,2001,Play Schools,N/A,Pre School - PRE,Other Boards,tel:+919513238818,45000,"# 18, 8th Near Raghvendra Templ, 7th B Main Road, A Sector, Yelahanka New Town, Bengaluru, Karnataka 560106",,Yoga,Smart Classrooms
Jnanajyothi Educational Institutions,2002,Public Schools,N/A,LKG - 12,State Board,tel:+919513238818,31000,"CA-23, 2nd A Cross Rd, Yelahanka New Town, Bengaluru, Karnataka 560064",,"Basketball, Carroms, Chess, Cricket, Football, Kabaddi, Karate, Kho-Kho, Tennis, Yoga","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
Little Elly Preschool,2004,Play Schools,N/A,Pre School - PRE,Other Boards,tel:+919513238818,36000,"Little Elly, No. B4-119, SFS 208, 2nd cross, 2nd Main Rd, 4th Phase, Yelahanka New Town, Bengaluru, Karnataka 560064",Mr. Vittal Bhandary Founder / N/A,Yoga,
Vishwa Vidyapeeth,2012,"International Schools, Other Collections",N/A,Nursery - 12,"CBSE, ICSE, IGCSE",tel:+918035470244,,"Survey No. 65, Singanayakanahalli, Doddaballpur Main Road, Yelahanka",,,
SAI SHANKAR VIDYASHALA HIGH SCHOOL,1985,Day Schools,N/A,-,State Board,tel:+918035470244,12000 / Annual,"Shri, Ramanahalli, Rajanukunte, Karnataka 560064, India",,,
NATION BUILDERS SCHOOL,2014,Day Schools,N/A,Nursery - Class 10,CBSE,tel:+918035470244,58000 / Annual,"NBS Campus, Lakefront View, Agrahara Layout (Thirumenahalli), Yelahanka,, Bengaluru, Karnataka, INDIA-560064, Agrahara Badavane, Bengaluru, Thirumenahalli, Karnataka 560064, India",,,Transport
CAMBRIDGE ENGLISH SCHOOL,1972,Day Schools,N/A,Nursery - Class 10,CBSE,tel:+918035470244,50796 / Annual,"No.18/1 & 18/2,Shivanahalli, opposite Surabhi Layout, Yelahanka, Bengaluru, Karnataka 560064, India",,,
Hilton High Innovative Learning,Public Schools,N/A,Pre School - 8,CBSE,Co-Education,tel:+918035470244,,"10, 4th Main Rd, Maruthi Nagar, Yelahanka, Bengaluru, Karnataka 560064",,,
Vijaya Jyothi English School,2003,Public Schools,N/A,Pre School - 10,State Board,tel:+918035470244,,"4H4V+V32, BBMP Office Rd, Kamakshiamma Layout, Yelahanka, Bengaluru, Karnataka 560064",,,
