Name,Since,Category,Strength,Years,Board,Phone No,Fee,Location,Faculty,Sports,Amenities
"Little Elly Preschool, Vinayak Nagar",N/A,Play Schools,N/A,LKG - UKG,Other Boards,tel:919513238818,,"No.102, 2nd Floor, Gachibowli Central, Vinayaknagar, Gachibowli, Hyderabad, Hyderabad, 500032",,"Cycling, Swimming","Transport, Computers Facility, Library"
Phoenix Greens International School,2009,Public Schools,N/A,LKG - 10,CBSE,tel:919513238818,115000-200000,"Plot 43, Jayabhery Valley, Adjacent To Cyberabad Police Commissionerate, Gachibowli, Hyderabad, Telangana,",,"Athletics, Badminton, Basketball, Carroms, Chess, Cricket, Football, Karate, Soccer, Tennis","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Kidzee Preschool,2013,Play Schools,50,LKG - UKG,CBSE,tel:919513238818,55000,"House No. HIGA 54, Door No. 4-46-P4/54, APHB Colony, Gachibowli, Hyderabad, Telangana 500072",,Cycling,"Transport, Medical Facility, Smart Classrooms, Computers Facility, Library"
Prerana Waldorf School,1996,Public Schools,N/A,LKG - 12,"CBSE, Cambridge IGCSE",tel:919513238818,,"Survey No.47/9, Janardhan Hills, Opposite NCC Urban Apartments, Sherilingampally Mandal, Gachibowli, Hyderabad, Telangana 500032, India",,"Basketball, Carroms, Chess, Cricket, Football, Karate, Skating","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Oakridge International School,2001,International Schools,2500,LKG - 12,"CBSE, International Baccalaureate",tel:919513238818,â‚¹3.3 Lakhs to â‚¹9.5 Lakhs,"Khajaguda,  Nanakramguda Road, Cyberabad, Hyderabad  500008",Mrs. Hema Chennupaty Principal / PG - Mastering in English Literature,"Badminton, Basketball, Carroms, Chess, Cricket, Football, Rock-climbing, Skating, Swimming, Table-tennis, Tennis, Throwball, Volleyball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Inky Plams Pre School & Daycare,2019,"Play Schools, Other",N/A,Pre School - UKG,CBSE,tel:919513238818,,"Villa# 9, Najier S4 Properties, P Janardhan Reddy Nagar, Gachibowli, Hyderabad, Telangana 500032",,,
Sunshine Preschool & Daycare Chain,2012,Play Schools,N/A,LKG - UKG,Other Boards,tel:919513238818,40000,"Plot No: 19, Vinayaka Nagar Colony, Venkateshwara Temple Road, Gachibowli, Hyderabad, Telangana 500032, India",,Cycling,"Transport, Medical Facility, Library"
Oi Play school,2007,Play Schools,N/A,LKG - UKG,Other Boards,tel:919513238818,,"3, Kalajyothi Road, Sai Pruthvi Enclave, Gachibowli, Hyderabad, Telangana 500084, India",,"Cycling, Swimming","Transport, Library"
Sri Vijaya Bharathi High School,2013,Public Schools,N/A,LKG - 10,State Board,tel:919513238818,19000- 21000,"Diamond Hills, Lumbini Avenue, Gachibowli, Hyderabad, Telangana 500032, India",,"Athletics, Carroms, Chess, Cricket, Table-tennis, Tennis","Transport, Medical Facility, Computers Facility"
AVN Vida International school,2017,International Schools,N/A,Pre School - 10,CBSE,tel:919513238818,,"Gopan Pally, Journalists Colony Phase 3, Gachibowli, Journalists Colony Phase 3, Phase 3, Gachibowli, Hyderabad, Telangana 500075",Mr. AVN Reddy Chairman / MS Dr.Mrs.Kiran Singh Principal / Ph.D in History,"Basketball, Karate, Skating, Soccer, Tennis, Volleyball, Yoga","Laboratory, Smart Classrooms, Computers Facility, Library"
A V N VIDA SCHOOL,2017,Day Schools,N/A,Nursery - Class 10,CBSE,tel:919513238818,120000 / Annual,"AVN VIDA INTERNATIONAL SCHOOL, Journalists Colony Phase 3, Phase 3, Gachibowli, Hyderabad, Telangana 500075, India",,,Transport
Globe Totters A Birla Preschool,2010,Play Schools,N/A,LKG - UKG,Other Boards,tel:919513238818,,"Plot no 27, Street No 19, Telecomnagar, Gachibowli, Hyderabad, Telangana 500032",,Cycling,"Transport, Medical Facility"
"Little Elly Preschool, Vinayak Nagar",N/A,Play Schools,N/A,LKG - UKG,Other Boards,tel:919513238818,,"No.102, 2nd Floor, Gachibowli Central, Vinayaknagar, Gachibowli, Hyderabad, Hyderabad, 500032",,"Cycling, Swimming","Transport, Computers Facility, Library"
Blue Blocks Pre School,2009,Play Schools,N/A,LKG - 5,State Board,tel:919513238818,25000,"MIG 3, Lane opposite to DLF,  APHB Colony, Indira Nagar, Gachibowli, Hyderabad, Telangana 500032, India",Ms. Munira Hussain Director / Graduate in Psychology,"Basketball, Cricket, Football, Lawn Tennis, Tennis","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
AVN Vida International school,2017,International Schools,N/A,Pre School - 10,CBSE,tel:919513238818,,"Gopan Pally, Journalists Colony Phase 3, Gachibowli, Journalists Colony Phase 3, Phase 3, Gachibowli, Hyderabad, Telangana 500075",Mr. AVN Reddy Chairman / MS Dr.Mrs.Kiran Singh Principal / Ph.D in History,"Basketball, Karate, Skating, Soccer, Tennis, Volleyball, Yoga","Laboratory, Smart Classrooms, Computers Facility, Library"
Sunshine Preschool & Daycare Chain,2012,Play Schools,N/A,LKG - UKG,Other Boards,tel:919513238818,40000,"Plot No: 19, Vinayaka Nagar Colony, Venkateshwara Temple Road, Gachibowli, Hyderabad, Telangana 500032, India",,Cycling,"Transport, Medical Facility, Library"
Phoenix Greens International School,2009,Public Schools,N/A,LKG - 10,CBSE,tel:919513238818,115000-200000,"Plot 43, Jayabhery Valley, Adjacent To Cyberabad Police Commissionerate, Gachibowli, Hyderabad, Telangana,",,"Athletics, Badminton, Basketball, Carroms, Chess, Cricket, Football, Karate, Soccer, Tennis","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
