Name,Since,Category,Strength,Years,Board,Phone No,Fee,Location,Faculty,Sports,Amenities
Global Edge School,2005,Public Schools,N/A,LKG - 5,CBSE,tel:919513238818,60000-70000,"275/a/d, Road Number 12, Mla Colony, Banjara Hills, Hyderabad",,"Athletics, Basketball, Cricket, Karate, Skating","Transport, Medical Facility, Smart Classrooms, Computers Facility, Library"
PAGE Junior College,1988,Day Schools,600,Class 11 - Class 12,State Board,tel:919513238818,180000 / Annual,"Aditya Court, 8-2-334/K, Rd Number 3, Green Valley, Banjara Hills, Hyderabad, Telangana 500034, India",,,Transport
EuroKids,N/A,Play Schools,N/A,LKG - 1,Other Boards,tel:919513238818,,"No: 275 A/D, MLA Colony, Road No 12, Banjara Hills, Hyderabad, Telangana 500034",,Cycling,Transport
Greenwood Kindergarten,2015,Play Schools,N/A,LKG - UKG,Other Boards,tel:919513238818,55000 - 60000,"Road No 1, Banjara Hills, Hyderabad",,Cycling,"Transport, Medical Facility, Smart Classrooms, Library"
Footprints: Play School & Day Care Creche,N/A,Play Schools,N/A,LKG - UKG,Other Boards,tel:919513238818,16000,"37/A, Rd Number 12, Sai Enclave, MLA Colony, Banjara Hills, Hyderabad, Telangana 500034, India",,"Taekwondo, Yoga","Transport, Medical Facility"
Sultan Ul Uloom Public School,1980,Public Schools,1350,LKG - 10,CBSE,tel:919513238818,,Mount Pleasant 8-2-249 Road No.3 Banjara Hills Hyderabad Telangana,,"Athletics, Basketball, Carroms, Chess, Cricket, Karate, Kho-Kho, Tennis","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
Meridian School,1995,Public Schools,4000,1 - 12,CBSE,tel:919513238818,Fee range is from Rs. 125000 to Rs. 250000,"#8-2-541, Rd Number 7, Banjara Hills, Hyderabad, Telangana 500034",Dr. D. Usha Reddy Principal / N/A,"Badminton, Basketball, Carroms, Chess, Cricket, Football, Gymnastics, Hockey, Kabaddi, Kho-Kho, Lawn Tennis, Skating, Table-tennis, Taekwondo, Tennis, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
First Innings Play School,2014,Play Schools,N/A,LKG - 5,CBSE,tel:919513238818,,"# 8-2-269,
Block C, Road Number 2,
Banjara Hills,
Hyderabad, Telangana 500034",,Skating,"Transport, Medical Facility, Smart Classrooms, Library"
Delhi School of Excellence - Banjara Hills,2013,Day Schools,1000,LKG - Class 10,CBSE,tel:919513238818,165000 / Annual,"8-2-404/1, Rd Number 6, Opposite Street GVk, Green Valley, Banjara Hills, Hyderabad, Telangana 500034, India",,,Transport
Kaushalya Global The Complete School,N/A,Play Schools,N/A,LKG - 5,Other Boards,tel:919513238818,,"8-2-401/C/7, Road Number 5, Banjara Hills, Hyderabad, Telangana 500034",,"Athletics, Cycling, Gymnastics, Skating","Transport, Smart Classrooms, Computers Facility, Library"
