Name,Since,Category,Strength,Years,Board,Phone No,Fee,Location,Faculty,Sports,Amenities
Gautami Talent Schools,2001,Public Schools,380,LKG - 10,CBSE,tel:919513238818,,"New Gaddiannaram,
P&T Colony, Dilsukhnagar,
Hyderabad – 500 060,
Telangana, India.",Sri Maddhi Reddy Venkata Reddy Chairman & Managing Director,"Karate, Yoga","Transport, Medical Facility, Laboratory, Computers Facility, Library"
Narayana e techno School,N/A,Public Schools,N/A,LKG - 10,State Board,tel:919513238818,,"16-11-740/26, Gaddiannaram Rd, Municipal Colony, Dilsukhnagar, Hyderabad, Telangana 500060, India",,"Carroms, Chess","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
G Pulla Reddy Memorial School,N/A,Public Schools,N/A,LKG - 10,State Board,tel:919513238818,,"Behind G Pulla Reddy Sweets, Sai Baba Temple Lane, Dilsukhnagar, Hyderabad, Telangana 500060",,"Athletics, Badminton, Basketball, Carroms, Chess, Cricket, Football, Throwball, Volleyball","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Narayana Olympiad School,N/A,Public Schools,N/A,6 - 10,State Board,tel:919513238818,,"No. 23-27, Krishnaveni Nagar, Saroornagar, Janpriya Sauda Complex, Kamala Nagar, Dilsukhnagar, Hyderabad, Telangana 500060, India",,"Carroms, Chess","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
ShemRock Model Play School,N/A,Play Schools,N/A,LKG - UKG,Other Boards,tel:919513238818,,"16-11-477/6/4/1, Hanumannagar, Indira Nagar, Dilsukhnagar, Hyderabad, Telangana 500036, India",,,"Transport, Medical Facility, Library"
Narayana Concept School,N/A,Public Schools,N/A,LKG - 10,State Board,tel:919513238818,,"No. 17-85/1, Beside Annapurna Kalyana Mandapam, Sree Nagar Colony, Saroornagar, Dilsukhnagar,  Hyderabad, Telangana 500060, India",,"Carroms, Chess","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
Brilliant Grammer High School,N/A,Public Schools,N/A,LKG - 10,State Board,tel:919513238818,,"16-11-477/A/14/4, Dilsukhnagar, Shalivahana Nagar, Hyderabad, Telangana 500036, India",Mr. K. Narayana Reddy Chairman,"Badminton, Basketball, Chess, Cricket, Football, Kabaddi, Kho-Kho, Taekwondo, Throwball, Volleyball","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Panineeya Mahavidyalaya Public School,1980,Other Collections,N/A,LKG - 10,CBSE,tel:919513238818,,Vivekananda Nagar Dilsukhnagar Hyderabad Telangana,"Ms. VASUDHA Principal / L.L.M, M.Ed, M.A.(Eng), M.A.(Phil), M.A.(PPM)","Athletics, Cricket, Kabaddi, Karate, Tennikoit, Tennis, Throwball, Yoga","Transport, Medical Facility, Laboratory, Computers Facility, Library"
Springdale Academy De International,N/A,International Schools,N/A,LKG - 10,"CBSE, State Board",tel:919513238818,,"No: 34 , Tirumala Hills,

DilsukhNagar ,Hyderabad.",,"Carroms, Chess, Cricket, Karate, Volleyball","Laboratory, Computers Facility, Library"
Ira School,2011,"Play Schools, Public Schools",N/A,LKG - 7,State Board,tel:919513238818,,"16-2-752/21/11 & 11/1 Road No 3, Triveninagar Colony, Gaddiannaram, Dilsukhnagar, Hyderabad, Telangana 500060","Saraswathi Pasupuleti Founder Principal / MBA (Human Resource Mgmt), B. Ed","Carroms, Chess, Table-tennis, Taekwondo, Yoga","Transport, Smart Classrooms, Computers Facility, Library"
Dilsukhnagar Public School,1985,Public Schools,N/A,LKG - 10,State Board,tel:919513238818,,"Door No. 4-88, Vikas Nagar, Dilsukh Nagar, Near Rajadhani Theatre, Hyderabad, Telangana 500060",,"Athletics, Carroms, Chess, Cricket, Throwball, Volleyball","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Sreenidhi Global School,N/A,Public Schools,N/A,LKG - 10,State Board,tel:919513238818,,"H-No.1-7-9/1A, Chaitanyapuri Main Rd, Satyanarayanapuram Colony, Prabhat Nagar Colony, Dilsukhnagar, Hyderabad, Telangana 500060",,"Athletics, Badminton, Basketball, Carroms, Chess, Cricket, Football, Karate, Skating, Swimming, Table-tennis, Tennis, Volleyball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Narayana Olympiad School,N/A,Public Schools,N/A,6 - 10,State Board,tel:919513238818,,"No. 23-27, Krishnaveni Nagar, Saroornagar, Janpriya Sauda Complex, Kamala Nagar, Dilsukhnagar, Hyderabad, Telangana 500060, India",,"Carroms, Chess","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
Fiitjee World School,N/A,Public Schools,N/A,6 - 10,State Board,tel:919513238818,,"Plot No. 16-11-740/5/A/B, Opposite Nikil Hospital, Behind Ideal College, Gaddianaram, Dilsukhnagar,  Hyderabad, Telangana 500036, India",,"Carroms, Chess, Table-tennis","Laboratory, Smart Classrooms, Computers Facility, Library"
ShemRock Model Play School,N/A,Play Schools,N/A,LKG - UKG,Other Boards,tel:919513238818,,"16-11-477/6/4/1, Hanumannagar, Indira Nagar, Dilsukhnagar, Hyderabad, Telangana 500036, India",,,"Transport, Medical Facility, Library"
Narayana Concept School,N/A,Public Schools,N/A,LKG - 10,State Board,tel:919513238818,,"No. 17-85/1, Beside Annapurna Kalyana Mandapam, Sree Nagar Colony, Saroornagar, Dilsukhnagar,  Hyderabad, Telangana 500060, India",,"Carroms, Chess","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
Bhashyam Public School,N/A,Public Schools,N/A,LKG - 10,State Board,tel:919513238818,,"Bhavani Nagar, Dwarakapuram, New Dilsukh Nagar Colony, Dilsukhnagar, Hyderabad, Telangana 500060, India",Mr. RamaKrishna Director,"Athletics, Carroms, Chess, Yoga","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
Brilliant Grammer High School,N/A,Public Schools,N/A,LKG - 10,State Board,tel:919513238818,,"16-11-477/A/14/4, Dilsukhnagar, Shalivahana Nagar, Hyderabad, Telangana 500036, India",Mr. K. Narayana Reddy Chairman,"Badminton, Basketball, Chess, Cricket, Football, Kabaddi, Kho-Kho, Taekwondo, Throwball, Volleyball","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Panineeya Mahavidyalaya Public School,1980,Other Collections,N/A,LKG - 10,CBSE,tel:919513238818,,Vivekananda Nagar Dilsukhnagar Hyderabad Telangana,"Ms. VASUDHA Principal / L.L.M, M.Ed, M.A.(Eng), M.A.(Phil), M.A.(PPM)","Athletics, Cricket, Kabaddi, Karate, Tennikoit, Tennis, Throwball, Yoga","Transport, Medical Facility, Laboratory, Computers Facility, Library"
RAVINDRA BHARATHI SCHOOL,2011,Day Schools,550,Nursery - Class 10,State Board,tel:919513238818,31000 / Annual,"Swapna hospital, opposite Road, Millenium Residency, Chaitanyapuri, Dilsukhnagar, Secunderabad, Hyderabad, Telangana 500060, India",,,Transport
Panineeya Mahavidyalaya Public School,1976,Day Schools,1100,LKG - Class 10,CBSE,tel:919513238818,90000 / Annual,"9G8J+3F6, V.V Nagar, VR Colony, Kamala Nagar, Dilsukhnagar, Hyderabad, Telangana 500060, India",,,
JYOTHI MODEL SCHOOL,Day Schools,250,Nursery - Class 10,State Board,Co-Education,tel:919513238818,10000 / Annual,"1-10-65 dwarakapuram mainroad, dilsukh nagar, R.R. district hyderabad, 10-9, New Dilsukh Nagar Colony, Dilsukhnagar, Hyderabad, Telangana 500060, India",,,
GOWTHAM MODEL SCHOOL,Day Schools,1000,Nursery - Class 10,State Board,Co-Education,tel:919513238818,30000 / Annual,"House No. 1-9-275/276, Sri Chilkuru Gayathri Pride, Dwarakapuram, Dilsukhnagar, Krishna Nagar, Dilsukhnagar, Hyderabad, Telangana 500060, India",,,Transport
St Aloysius High School,1978,Day Schools,N/A,Nursery - Class 10,State Board,tel:919513238818,21000 / Annual,"2-100, Sai Nagar Colony Main Road, Sri Sai Nagar Colony, Subhodaya Nagar, Dilsukhnagar, Hyderabad, Telangana 500060, India",,,
