Name,Since,Category,Strength,Years,Board,Phone No,Fee,Location,Faculty,Sports,Amenities
Jain Heritage A Cambridge School,2012,Public Schools,N/A,LKG - 10,"CBSE, Cambridge IGCSE",tel:919513238818,,"Survey No. 187, Besides DCHL, Botanical Gardens Road, Kondapur, Serilingampally Mandal, R R District, Hyderabad, Telangana 500084",Mrs.Mona Mehdi Principal,"Basketball, Carroms, Chess, Cricket, Football, Taekwondo, Tennis, Throwball, Volleyball","Transport, Laboratory, Library"
Bachpan Play School,N/A,Play Schools,N/A,LKG - UKG,Other Boards,tel:919513238818,,"Plot No. 7 & 8, Hanuman Nagar, Near Aparna Towers, Opposite GEM Motors, Hanuman Nagar, Kondapur, Hyderabad, Telangana 500014, India",,"Chess, Cycling","Transport, Medical Facility, Computers Facility, Library"
Esperanza Preschool & 24x7 Childcare,N/A,Play Schools,N/A,LKG - UKG,Other Boards,tel:919513238818,,"1st Floor Plot No.36-C & 43-C, Survey No. 60, Block-A, Hanuman Nagar, Kondapur, Hyderabad, Telangana 500084, India",,Cycling,"Transport, Medical Facility, Library"
Samskruthi High School,1999,Public Schools,N/A,LKG - 10,State Board,tel:919513238818,24000-27000,"Near Berean Gospel Church, Raja Rajeshwara Nagar, Kondapur, Hyderabad, Telangana 500084",,"Badminton, Basketball, Chess, Cricket, Football, Table-tennis","Transport, Medical Facility, Computers Facility"
GVR Global Erudite School,2002,Public Schools,N/A,LKG - 10,CBSE,tel:919513238818,,"#Plot No.430B,Raghavendra Colony,Near Gem Motors Work shop,Opp.R.T.O Office Road, Kondapur, Hyderabad, Telangana 500084",,"Badminton, Basketball, Chess, Cricket, Table-tennis","Transport, Medical Facility, Computers Facility"
Maharishi Vidya Mandir,2001,Public Schools,2513,LKG - 12,CBSE,tel:919513238818,54000-86400,"Beside Novotel Hotel, Girish Park, Kondapur, Hyderabad, Telangana 500084, India",Mrs. Vasanthy Parasuraman principal,"Chess, Cricket, Football, Hockey, Table-tennis, Tennis, Volleyball","Transport, Laboratory, Computers Facility, Library"
MAHARA SCHOOL,2021,Play Schools,,Pre School - PRE,Other Boards,tel:919513238818,,"Plot No 1539, Sy No:, 78 to 93, Raja Rajeshwara Nagar, Kondapur, Hyderabad, Telangana 500084",,,
Sanskriti School,2000,Public Schools,N/A,LKG - 12,CBSE,tel:919513238818,,"1-110/GTE, Golden Tulip Estates, Kondapur, Golden Tulip Estate, JV Hills, Kondapur, Hyderabad, Telangana 500084, India",Mrs N. Revathi Director Mrs. Yamini Raju Director,"Basketball, Chess, Football, Karate, Skating, Throwball, Volleyball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Apple Tree International Preschool,2013,Play Schools,N/A,LKG - UKG,Other Boards,tel:919513238818,,"Plot 80/81,A-Block, Sri Ram Nagar,Kondapur, Hyderabad,telangana",,Yoga,"Transport, Medical Facility"
Arbor International School,2012,International Schools,N/A,LKG - 10,CBSE,tel:919513238818,70000-92000,"Survey No.92, Botanical Garden Road, Maseed Banda, Kondapur, Hyderabad, Telangana 500084","Ms. Meera Ramanan Principal / M.A, M.S, B.Ed","Basketball, Cricket, Tennis","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Chirec International School,1989,International Schools,N/A,1 - 12,"CBSE, International Baccalaureate",tel:919513238818,"3,00,000","1-55/12, Botanical Garden Rd, Sri Ram Nagar, Kondapur, Hyderabad, Telangana 500084","Mrs. Ratna Reddy Founder / PG in Early Childhood Education, PG in Child De K. Venkat Raman Vice Principal","Archery, Athletics, Badminton, Basketball, Carroms, Chess, Cricket, Football, Handball, Hockey, Kabaddi, Kho-Kho, Skating, Table-tennis, Tennis, Throwball, Volleyball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
EuroKids,N/A,Play Schools,N/A,LKG - 1,Other Boards,tel:919513238818,,"Plot No: 38, C Block,, Sri Ram Nagar, Botanical Garden Road, Kondapur, Hyderabad, Telangana 500081",,"Cycling, Yoga","Transport, Library"
Sanskriti School,2000,Public Schools,N/A,LKG - 12,CBSE,tel:919513238818,,"1-110/GTE, Golden Tulip Estates, Kondapur, Golden Tulip Estate, JV Hills, Kondapur, Hyderabad, Telangana 500084, India",Mrs N. Revathi Director Mrs. Yamini Raju Director,"Basketball, Chess, Football, Karate, Skating, Throwball, Volleyball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Shemrock Kinderstars,N/A,Play Schools,N/A,LKG - UKG,Other Boards,tel:919513238818,,"H.No.-1-111/4/C , Ravi Enclave, Near Hanuman Temple, Opp. Gem Maruti Showroom, Raghavendra Colony, Kondapur, Hyderabad, Telangana 500084, India",,,"Transport, Medical Facility, Library"
Joy Kids,2008,Play Schools,N/A,LKG - UKG,Other Boards,tel:919513238818,9000-15000,"H No 4-1546, Rajarajeshwari Nagar, Besides GEM Service Station, Kondapur,, Hyderabad, Telangana 500081",,"Athletics, Cycling",Transport
Esperanza Preschool & 24x7 Childcare,N/A,Play Schools,N/A,LKG - UKG,Other Boards,tel:919513238818,,"1st Floor Plot No.36-C & 43-C, Survey No. 60, Block-A, Hanuman Nagar, Kondapur, Hyderabad, Telangana 500084, India",,Cycling,"Transport, Medical Facility, Library"
Jain Toddlers,2008,"Play Schools, Public Schools",25,LKG - UKG,Other Boards,tel:919513238818,25000-30000,"Plot No 15A, Sai Prithvi Enclave, Behind Deccan Chronicle Holdings Ltd, Serilingampally Mandal,Kondapur, Hyderabad, Telangana 500084",,Squash,"Transport, Medical Facility"
Maharishi Vidya Mandir,2001,Public Schools,2513,LKG - 12,CBSE,tel:919513238818,54000-86400,"Beside Novotel Hotel, Girish Park, Kondapur, Hyderabad, Telangana 500084, India",Mrs. Vasanthy Parasuraman principal,"Chess, Cricket, Football, Hockey, Table-tennis, Tennis, Volleyball","Transport, Laboratory, Computers Facility, Library"
EuroKids,N/A,Play Schools,N/A,LKG - 1,Other Boards,tel:919513238818,,"Plot No: 38, C Block,, Sri Ram Nagar, Botanical Garden Road, Kondapur, Hyderabad, Telangana 500081",,"Cycling, Yoga","Transport, Library"
I Play I Learn School,2015,Play Schools,40,LKG - UKG,Other Boards,tel:919513238818,32000-34000,"Plot No. 117, C Block Sri Ram Nagar Kondapur Hyderabad - 500081",,"Checkers, Cycling","Transport, Medical Facility, Smart Classrooms"
Oi Play School,2007,Play Schools,N/A,LKG - UKG,Other Boards,tel:919513238818,,"3, Raghavendra Colony, Kondapur, Hyderabad, Telangana 500084, India",,"Cycling, Swimming","Transport, Library"
Apple Tree International Preschool,2013,Play Schools,N/A,LKG - UKG,Other Boards,tel:919513238818,,"Plot 80/81,A-Block, Sri Ram Nagar,Kondapur, Hyderabad,telangana",,Yoga,"Transport, Medical Facility"
Arbor International School,2012,International Schools,N/A,LKG - 10,CBSE,tel:919513238818,70000-92000,"Survey No.92, Botanical Garden Road, Maseed Banda, Kondapur, Hyderabad, Telangana 500084","Ms. Meera Ramanan Principal / M.A, M.S, B.Ed","Basketball, Cricket, Tennis","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
GVR Global Erudite School,2002,Day Schools,450,Nursery - Class 10,"State Board, CBSE",tel:919513238818,50000 / Annual,"#Plot No.430B,Raghavendra Colony,Near Gem Motors Work shop,Opp.R.T.O Office Road, Kondapur, Raghavendra Colony, Hyderabad, Telangana 500084, India",,,Transport
Sumanjali High school,Day Schools,N/A,Nursery - Class 10,"CBSE, State Board",Co-Education,tel:919513238818,14000 / Annual,"F996+44F, near Berean Gospel Church, Raja Rajeshwara Nagar, Kondapur, Hyderabad, Telangana 500084, India",,,
SARADA HIGH SCHOOL,Day Schools,500,Nursery - Class 10,"CBSE, State Board",Co-Education,tel:919513238818,20000 / Annual,"Hanuman Nagar, Kondapur, Hyderabad, Telangana 500084, India",,,Transport
Sanskriti School,Day Schools,1200,Nursery - Class 12,CBSE,Co-Education,tel:919513238818,112000 / Annual,"1-110/GTE, Golden Tulip Estate, JV Hills, Kondapur, Hyderabad, Telangana 500084, India",,,Transport
New Bloom High School,1999,Day Schools,550,Nursery - Class 10,State Board,tel:919513238818,25000 / Annual,"Safari Nagar, Kothaguda, Hyderabad, Telangana 500084, India",,,Transport
Sri Krishnaveni Talent School,Day Schools,N/A,Nursery - Class 10,State Board,Co-Education,tel:919513238818,20000 / Annual,"Sri Keshaveni Talent School, Rd No 4, Sri Ramnagar - Block B, Kondapur, Hyderabad, Telangana 500084, India",,,Transport
