Name,Since,Category,Strength,Years,Board,Phone No,Fee,Location,Faculty,Sports,Amenities
Rao's My Techno school,N/A,Public Schools,N/A,LKG - 10,"ICSE, State Board",tel:919513238818,,"93/A , Addagutta Society , Pragathi Nagar, Jal Vayu Vihar, Kukatpally, Hyderabad, Telangana 500072",,"Athletics, Boxing, Carroms, Chess, Cricket, Gymnastics, Skating, Swimming, Taekwondo","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Esperanza Preschool and Child Care Center,2008,Play Schools,100,LKG - UKG,Other Boards,tel:919513238818,9000 - 19000,"HIG 11, 9th phase Kukatpally Housing Board Colony, Kukatpally, Hyderabad, Telangana 500085, India",,"Chess, Cycling","Transport, Medical Facility"
"Narayana e Techno School, Vivekananda nagar",N/A,Public Schools,N/A,LKG - 10,State Board,tel:919513238818,,"No. 124-125, SS Towers, Sai Nagar, Saptagiri Colony, Vivekananda Nagar, Kukatpally, Hyderabad, Telangana 500072, India",,"Carroms, Chess","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
Bhashyam High School,N/A,Public Schools,N/A,LKG - 10,State Board,tel:919513238818,,"3, Vivekananda Nagar Colony, Kukatpally, Saptagiri Colony, Hyderabad, Telangana 500072, India",Mr. RamaKrishna Director,"Athletics, Carroms, Chess, Yoga","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
Narayana Olympiad School,N/A,"Public Schools, Boarding Schools",N/A,6 - 10,State Board,tel:919513238818,,"Plot No. 60, Western Hills, Addagutta Society, Opposite JNTU, Jal Vayu Vihar, KPHB, Hyderabad, Telangana 500072, India",,"Carroms, Chess","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
Veda Kidz,Day Schools,N/A,Nursery - Class 7,CBSE,Co-Education,tel:919513238818,25000 / Annual,"Plot No.56, opp. KPHB, Hmt Sathavahana Nagar, Kukatpally, Hyderabad, Telangana 500072, India",,,Transport
Brilliant Grammar High School,N/A,Public Schools,N/A,LKG - 10,State Board,tel:919513238818,,"Plot No 258/C, Addagutta Society, Pragathi Nagar Road, Western Hills, Jal Vayu Vihar, Kukatpally, Hyderabad, Telangana 500072, India",Mr. K. Narayana Reddy Chairman,"Badminton, Basketball, Chess, Cricket, Football, Kabaddi, Kho-Kho, Taekwondo, Throwball, Volleyball","Transport, Medical Facility, Laboratory, Computers Facility, Library"
EuroKids,N/A,Play Schools,N/A,LKG - 1,Other Boards,tel:919513238818,,"MIG 477, Phase I & II,, K.p.h.b Colony,, Kukatpally, Hyderabad, Telangana 500076",,"Cycling, Yoga","Transport, Library"
Sparsh Special School,N/A,Special Education Schools,N/A,LKG - 10,State Board,tel:919513238818,,"Plot No. 87, Opposite Ramalayam, Saptagiri Colony, Vivekananda Nagar, Kukatpally, Hyderabad, Telangana 500072, India",,"Athletics, Yoga","Transport, Medical Facility"
Akshara International School,2010,International Schools,5000,Pre School - 10,CBSE,tel:919513238818,"80000/- to 1,50,000/- Annual","H.No. 5-3-389 near Chittaramma Temple beside Vivekananda Nagar Colony, Srikrishna Nagar, Kukatpally, Hyderabad, Telangana 500072, India",,"Basketball, Chess, Football, Handball, Volleyball","Transport, Medical Facility, Smart Classrooms, Computers Facility"
St. Mary's High School,1995,Public Schools,N/A,LKG - 10,CBSE,tel:919513238818,,"Vasanthnagar, Kukatpally,
Hyderabad – 500 085.
Telangana, India.",Mrs. N krishna veni Principal,"Basketball, Kabaddi, Kho-Kho, Throwball, Volleyball","Transport, Laboratory, Library"
Bachpan Play School,N/A,Play Schools,N/A,LKG - UKG,Other Boards,tel:919513238818,,"Plot no. 63, Ramaiya Nagar Bjp Office Rd Near Yshoda Gardens Function Hall, Shanthi Nagar, Kukatpally, Hyderabad, Telangana 500072, India",,"Chess, Cycling","Transport, Medical Facility, Computers Facility, Library"
Veda Kidz,Day Schools,N/A,Nursery - Class 7,CBSE,Co-Education,tel:919513238818,25000 / Annual,"Plot No.56, opp. KPHB, Hmt Sathavahana Nagar, Kukatpally, Hyderabad, Telangana 500072, India",,,Transport
Bhashyam High School,N/A,Public Schools,N/A,LKG - 10,State Board,tel:919513238818,,"3, Vivekananda Nagar Colony, Kukatpally, Saptagiri Colony, Hyderabad, Telangana 500072, India",Mr. RamaKrishna Director,"Athletics, Carroms, Chess, Yoga","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
"Narayana e Techno School, Vivekananda nagar",N/A,Public Schools,N/A,LKG - 10,State Board,tel:919513238818,,"No. 124-125, SS Towers, Sai Nagar, Saptagiri Colony, Vivekananda Nagar, Kukatpally, Hyderabad, Telangana 500072, India",,"Carroms, Chess","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
Academic Heights Public School,2004,Public Schools,,Pre School - 10,CBSE,tel:919513238818,,"FCP8+W9F, Plot No. 41 & 42, Ramaiah Nagar, BJP Office Road, Kukatpally, Kukatpally, Hyderabad, Telangana 500072",,"Athletics, Badminton, Basketball, Carroms, Chess, Cricket, Tennis, Volleyball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Akshara International School,2010,International Schools,5000,Pre School - 10,CBSE,tel:919513238818,"80000/- to 1,50,000/- Annual","H.No. 5-3-389 near Chittaramma Temple beside Vivekananda Nagar Colony, Srikrishna Nagar, Kukatpally, Hyderabad, Telangana 500072, India",,"Basketball, Chess, Football, Handball, Volleyball","Transport, Medical Facility, Smart Classrooms, Computers Facility"
The Tree House Play School,2013,Play Schools,N/A,LKG - UKG,Other Boards,tel:919513238818,35000-40000,"Shop No: P-41/1, Jayanagar Colony, Jaya Nagar, Kukatpally, Hyderabad, Telangana 500072, India",,Cycling,"Transport, Medical Facility"
Little Heart School,1998,Public Schools,,Pre School - 10,CBSE,tel:919513238818,"The annual fee to be paid stands at 35,000.","HIG-22, Rd Number 1, behind Karur Vysya Bank, Kukatpally Housing Board Colony, Kukatpally, Hyderabad, Telangana 500072",Mrs. BHAWNA GOYAL Principal / .,"Athletics, Basketball, Carroms, Chess, Cricket, Kabaddi, Table-tennis, Tennis, Volleyball","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
Happy Cubs American Montessori Preschool,N/A,Play Schools,N/A,LKG - UKG,Other Boards,tel:919513238818,,"Plot no 32 & 33, Road No 1, KPHB Colony, Kukatpally, Hyderabad, Telangana 500072, India",,Cycling,Computers Facility
Bachpan Play School,N/A,Play Schools,N/A,LKG - UKG,Other Boards,tel:919513238818,,"Plot no. 63, Ramaiya Nagar Bjp Office Rd Near Yshoda Gardens Function Hall, Shanthi Nagar, Kukatpally, Hyderabad, Telangana 500072, India",,"Chess, Cycling","Transport, Medical Facility, Computers Facility, Library"
Rao's My Techno school,N/A,Public Schools,N/A,LKG - 10,"ICSE, State Board",tel:919513238818,,"93/A , Addagutta Society , Pragathi Nagar, Jal Vayu Vihar, Kukatpally, Hyderabad, Telangana 500072",,"Athletics, Boxing, Carroms, Chess, Cricket, Gymnastics, Skating, Swimming, Taekwondo","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Oi Play School,2007,Play Schools,N/A,LKG - UKG,Other Boards,tel:919513238818,,"Plot no 506, Vivekananda Nagar, Kukatpally, Hyderabad, Telangana 500072, India",,"Cycling, Swimming","Transport, Library"
Bhashyam Brooks,N/A,Public Schools,569,LKG - 10,CBSE,tel:919513238818,,"Vaddepally Enclave, Jagadgirigutta Road No.5, Balakrishna Nagar, Vivekananda Nagar Extension, Kukatpally, Hyderabad, Telangana 500072, India",Mr. RamaKrishna Chairman,"Basketball, Chess, Cricket, Skating, Swimming, Table-tennis, Volleyball, Yoga","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
Bhashyam Brooks,N/A,Public Schools,569,LKG - 10,CBSE,tel:919513238818,,"Vaddepally Enclave, Jagadgirigutta Road No.5, Balakrishna Nagar, Vivekananda Nagar Extension, Kukatpally, Hyderabad, Telangana 500072, India",Mr. RamaKrishna Chairman,"Basketball, Chess, Cricket, Skating, Swimming, Table-tennis, Volleyball, Yoga","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
Bachpan Play School,N/A,Play Schools,N/A,LKG - UKG,Other Boards,tel:919513238818,,"Plot no. 63, Ramaiya Nagar Bjp Office Rd Near Yshoda Gardens Function Hall, Shanthi Nagar, Kukatpally, Hyderabad, Telangana 500072, India",,"Chess, Cycling","Transport, Medical Facility, Computers Facility, Library"
"The Indian Public School,Hyderabad",2022,Day Schools,500,Pre-Nursery - Class 2,CBSE,tel:919513238818,50000 / Annual,"House, Lower & Upper Ground floor, Rainbow Vistas@Rock Garden-Club, Patel Nagar, Moosapet, Hyderabad, Telangana 500018, India",,,Transport
MAPLES THE COMPLETE SCHOOL,Day Schools,500,Nursery - Class 7,CBSE,Co-Education,tel:919513238818,40000 / Annual,"G8CC+J3W, Unnamed Road, Ameenpur, Miyapur, Ramachandrapuram (BHEL Township), Telangana 502032, India",,,Transport
Little Heart School,1998,Public Schools,,Pre School - 10,CBSE,tel:919513238818,"The annual fee to be paid stands at 35,000.","HIG-22, Rd Number 1, behind Karur Vysya Bank, Kukatpally Housing Board Colony, Kukatpally, Hyderabad, Telangana 500072",Mrs. BHAWNA GOYAL Principal / .,"Athletics, Basketball, Carroms, Chess, Cricket, Kabaddi, Table-tennis, Tennis, Volleyball","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
Blossoms International Play School,2009,"International Schools, Play Schools",N/A,LKG - UKG,CBSE,tel:919513238818,27000-30000,"H. No. 1-2-48/2/17, Road No. 1, Balaji Nilayam,  Jai Bharat Nagar, Nagarjuna Homes, Kukatpally, Hyderabad, Telangana 500072, India",,Cycling,"Transport, Medical Facility"
