Name,Since,Category,Strength,Years,Board,Phone No,Fee,Location,Faculty,Sports,Amenities
St. Rita High school,n/a,Public Schools,N/A,Pre School - 12,CBSE,tel:919513238818,,,,,
INDO ENGLISH HIGH SCHOOL,2014,Day Schools,N/A,Nursery - Class 10,CBSE,tel:919513238818,27950 / Annual,"G88W+JFX, HMT Swarnapuri Colony Main Rd, HMT Swarnapuri Colony, Swarnapuri Colony II, Miyapur, Telangana 500049, India",,,
Esperanza Preschool & 24x7 Childcare,N/A,Play Schools,N/A,LKG - UKG,Other Boards,tel:919513238818,,"Opp: Talkie Town Multiplex, Behind Sitara Grand, Survey No:63P, Miyapur Junction, Miyapur, Hyderabad, Telangana 500049",,Cycling,"Transport, Medical Facility, Library"
Genesis International School,2008,"International Schools, Play Schools",N/A,LKG - 10,CBSE,tel:919513238818,50000 - 125000,"Survey No.98, Madinaguda, Miyapur, Hyderabad, Telangana 500049, India",Ms. Nalini Dadi Principal,"Badminton, Basketball, Chess, Table-tennis, Volleyball","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Delhi Public School,2015,Public Schools,3700,Pre School - 12,CBSE,tel:919513238818,"1,00,000 - 2,00,000","Survey No 816, Bowrampet Village, Bachupally, Dundigal Mandal, Medchal District, Hyderabad, Telangana 500043",Mrs. Gowri Sarkar Principal / Secretary / .,"Athletics, Basketball, Carroms, Chess, Cricket, Gymnastics, Karate, Volleyball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
"I Play I Learn School, Mayuri Nagar",N/A,Play Schools,40,LKG - UKG,Other Boards,tel:919513238818,32000-34000,"Villa No. 8, Lakshmi Narayana Enclaves, HDFC Bank Lane Dowa Colony, Hi-Tension Rd, Mayuri Nagar, Miyapur, Hyderabad, Telangana 500049",,Cycling,"Transport, Medical Facility, Library"
I Play I Learn School,N/A,Play Schools,40,LKG - UKG,Other Boards,tel:919513238818,32000-34000,"Education Academy - Besides Sairanga theatre, Madhavanagar colony Miyapur Hyderabad, Hyderabad, Telangana 500059",,Cycling,"Transport, Medical Facility, Library"
Blossoms International Play School,2013,"International Schools, Play Schools",N/A,LKG - UKG,CBSE,tel:919513238818,30000-35000,"H.No. 5-80, Dharmapuri Temple Road, Deepthisri Nagar, Madinaguda, Miyapur, Hyderabad, Telangana 500049",,Cycling,"Transport, Computers Facility"
Janapriya High School West City,2001,Public Schools,N/A,LKG - 10,CBSE,tel:919513238818,,"Janapriya West City, Mahaboobpet Maktha, Miyapur, Mahaboobpet Maqta, Miyapur, Hyderabad, Telangana 500049, India",,"Athletics, Cricket, Kho-Kho","Transport, Medical Facility, Laboratory, Computers Facility, Library"
St.Martin's High School,2001,Public Schools,513,LKG - 10,"CBSE, State Board",tel:919513238818,,"Mumbai Hwy, Nandini Nagar, Miyapur, Hyderabad, Telangana 500049, India",Shri G.Jai Kishan Yadav DIrector,"Basketball, Carroms, Chess, Football, Kabaddi, Karate, Kho-Kho, Skating, Table-tennis, Tennis, Throwball, Volleyball","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Sentia The Global School,2008,Public Schools,N/A,LKG - 10,CBSE,tel:919513238818,,"Beside BK Enclave, Road No.2, Near Miyapur Bus Depot, Miyapur, Hyderabad, Telangana 500049",,"Athletics, Badminton, Basketball, Cricket, Football, Volleyball","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
Gautami Vidya Kshetra,1981,Public Schools,N/A,LKG - 10,CBSE,tel:919513238818,,"Gautami Valley, New Miyapur Police Station Road, Prasanth Nagar, Hyderabad.",,"Chess, Cricket, Skating","Transport, Laboratory, Computers Facility, Library"
Blossoms International Play School,2013,"International Schools, Play Schools",N/A,LKG - UKG,CBSE,tel:919513238818,30000-35000,"H.No. 5-80, Dharmapuri Temple Road, Deepthisri Nagar, Madinaguda, Miyapur, Hyderabad, Telangana 500049",,Cycling,"Transport, Computers Facility"
Fusion International School,2013,International Schools,200,LKG - 9,CBSE,tel:919513238818,30000-60000,"Ameenpur , Near Bandam Kommu, near Sri Devi Theatre, BHEL,  Hyderabad, Telangana 502032, India","Dr. Mrs. T. Padmavathy Principal / M.Sc, M.Ed., Ph.D","Badminton, Basketball, Cricket, Tennis","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Gautami Vidya Kshetra,1981,Public Schools,N/A,LKG - 10,CBSE,tel:919513238818,,"Gautami Valley, New Miyapur Police Station Road, Prasanth Nagar, Hyderabad.",,"Chess, Cricket, Skating","Transport, Laboratory, Computers Facility, Library"
MATRUSRI DAV PUBLIC SCHOOL,2010,Day Schools,N/A,LKG - Class 10,CBSE,tel:919513238818,42000 / Annual,"44/1, Road NO.3 / 4, Mathrusree Nagar, Hafeezpet, Miyapur, Hyderabad, Telangana 500049, India",,,Transport
Janapriya High School West City,2001,Public Schools,N/A,LKG - 10,CBSE,tel:919513238818,,"Janapriya West City, Mahaboobpet Maktha, Miyapur, Mahaboobpet Maqta, Miyapur, Hyderabad, Telangana 500049, India",,"Athletics, Cricket, Kho-Kho","Transport, Medical Facility, Laboratory, Computers Facility, Library"
Little Einsteins,2007,Play Schools,N/A,LKG - UKG,Other Boards,tel:919513238818,30000-40000,"House No 3-419, Plot No 419, LIG, Huda Colony, Mayuri Nagar, Near Heritage Supermarket, Miyapur, Hyderabad, Telangana 500049",,Carroms,"Transport, Medical Facility"
sanford the global school,2010,Day Schools,2000,Pre-Nursery - Class 7,"CBSE, CBSE, CBSE",tel:919513238818,300000 / Annual,"Beside HDFC Bank's Lane,, HUDA Mayuri Nagar, Miyapur, Dynamics Colony, Mayuri Nagar, Hyderabad, Miyapur, Telangana 500049, India",,,
"The Creek Planet School, Mercury Campus",2008,Public Schools,N/A,5 - 10,"CBSE, State Board",tel:919513238818,79000-120000,"Sy. No.437 & 438, Miyapur - Medchal Highway, Bowrampet, Qutbhullapur Mandal. Hyderabad - 500 043. Telangana, India.",Mrs. Anupama Devi B Principal,"Athletics, Basketball, Cricket, Tennis, Volleyball","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
INDO ENGLISH HIGH SCHOOL,2014,Day Schools,N/A,Nursery - Class 10,CBSE,tel:919513238818,27950 / Annual,"G88W+JFX, HMT Swarnapuri Colony Main Rd, HMT Swarnapuri Colony, Swarnapuri Colony II, Miyapur, Telangana 500049, India",,,
Fountainhead Global School,2009,Public Schools,N/A,LKG - 10,CBSE,tel:919513238818,,"Dreamview, HMWS&SB Road, Hydernagar, Miyapur, Hyderabad.",Mrs. Meghna Masunuri Founder,"Carroms, Chess","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Sunshine Preschool & Daycare Chain,2012,Play Schools,N/A,LKG - UKG,Other Boards,tel:919513238818,40000,"Plot No-147, Pragathi Enclave, Max-I Residency Rd, Neelima Greens Colony, Pragathi Enclave, Miyapur, Hyderabad, Telangana 500049, India",,Cycling,"Transport, Medical Facility, Library"
St. Rita High school,n/a,Public Schools,N/A,Pre School - 12,CBSE,tel:919513238818,,,,,
Vikas The Concept School,2004,"Public Schools, Boarding Schools",4772,LKG - 12,CBSE,tel:919513238818,"65,000 - 1,50,000","Bollaram Road, Krishnaja Hills, Nizampet, Krishnaja Hills, Miyapur, Hyderabad, Telangana 500072, India",Late Sri Koteswara Rao Surapaneni Founder Chairman / .,"Athletics, Badminton, Basketball, Carroms, Chess, Cricket, Karate, Kho-Kho, Lawn Tennis, Skating, Table-tennis, Taekwondo, Tennis, Volleyball","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
