Name,Since,Category,Strength,Years,Board,Phone No,Fee,Location,Faculty,Sports,Amenities
Bhashyam Blooms School,N/A,Public Schools,N/A,LKG - 10,CBSE,tel:919513238818,,"Patancheru Industrial Area, Patancheru, Hyderabad, Telangana 502319",Mr. RamaKrishna Chairman / N/A,"Athletics, Badminton, Basketball, Carroms, Chess, Cricket, Football, Kabaddi, Kho-Kho, Table-tennis, Tennis, Yoga","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
Triveni Talent Schools,N/A,Public Schools,N/A,LKG - 10,State Board,tel:919513238818,,"Plot No. 495, Above Andhra Bank, Muthangi Cross Road, Sreeram Nagar Colony, Patancheru, Hyderabad, Telangana 502319, India",,"Athletics, Carroms, Chess, Cricket, Tennis, Yoga","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
SHRI SAI SHIVA HIGH SCHOOL,1994,Day Schools,N/A,Nursery - Class 10,State Board,tel:919513238818,15000 / Annual,"G7G8+4WR, Sri Nagar Colony, Shanthi Nagar, Patancheruvu, Telangana 502319, India",,,Transport
St.Joseph High school,Day Schools,N/A,LKG - Class 10,CBSE,Co-Education,tel:919513238818,35000 / Annual,"7-200/1, Rd Number 3, Anand Nagar Colony, JP Colony, Patancheru, Hyderabad, Patancheruvu, Telangana 502319, India",,,
International School of Hyderabad,1981,Day Schools,N/A,Pre-Nursery - Class 12,"International Baccalaureate, IGCSE",tel:919513238818,576500 / Annual,"ICRISAT Main Entrance Gate, Patancheru, Ramachandrapuram, Ramachandrapuram (BHEL Township), Telangana 502324, India",,,Transport
Rainbow International School,2011,Day Schools,752,Nursery - Class 10,CBSE,tel:919513238818,50000 / Annual,"Beeramguda (v Raghavendra Colony, RAINBOW INTERNATIONAL SCHOOL, Ameenpur Rd, Raghavendra Colony, Patancheruvu, Ramachandrapuram (BHEL Township), Telangana 502032, India",,,Transport
SAI HIGH SCHOOL,1998,Day Schools,290,Nursery - Class 10,State Board,tel:919513238818,18000 / Annual,"Patancheru, mandal, Beeramguda Main Rd, Jayalaxmi Nagar, Ushkebhavi, Ramachandrapuram, Ramachandrapuram (BHEL Township), Telangana 502032, India",,,Transport
MNR School Of Excellence,N/A,Public Schools,N/A,LKG - 10,CBSE,tel:919513238818,,"Ashok Nagar Main Rd, Ashok Nagar, Ramachandra Puram, Hyderabad, Telangana 502032, India",,"Carroms, Chess, Cricket, Kabaddi, Karate, Kho-Kho","Transport, Laboratory, Computers Facility, Library"
Manthan International School,2013,Day Schools,N/A,LKG - Class 12,"CBSE, International Baccalaureate",tel:919513238818,209000 / Annual,"Tellapur Village, Ramachandrapuram Mandal, Sangareddy District, Tellapur, Hyderabad, Nalagandla, Telangana 502032, India",,,Transport
MNR High School,N/A,Public Schools,N/A,LKG - 10,"CBSE, State Board",tel:919513238818,,"Ashok Nagar, Ramachandra Puram, Hyderabad, Telangana 502032, India",,"Kabaddi, Karate, Skating, Volleyball","Transport, Laboratory, Computers Facility, Library"
