Name,Since,Category,Strength,Years,Board,Phone No,Fee,Location,Faculty,Sports,Amenities
Orchids The International School,2022,Day Schools,800,Nursery - Class 10,CBSE,tel:919513238818,80000 / Annual,"Bolarum - Turkapally Rd, near Trinity Assembly of God Church, near Dew Drops Colony, Railway Employees Colony, Bolarum, Secunderabad, Telangana 500010, India",,,
Akshara Vaagdevi International School,N/A,Public Schools,N/A,LKG - 10,CBSE,tel:919513238818,,"Sy No.703, Bolton Road, 
Opp. Tivoli Garden, 
Near JBS,
Secunderabad-500003.",,"Athletics, Tennis","Laboratory, Computers Facility"
Kendriya Vidyalaya,1964,Public Schools,N/A,LKG - 12,CBSE,tel:919513238818,3000-6000,"Opp. Secunderabad Club, Secunderabad, Mudfort, Gunrock Enclave, Hyderabad, Telangana 500009, India",Shri. M Krishna Mohan Principal / M.A M.Ed,"Badminton, Basketball, Carroms, Chess, Football, Hockey, Kabaddi, Kho-Kho, Table-tennis, Volleyball","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Delhi Public School,2015,Public Schools,N/A,LKG - 10,CBSE,tel:919513238818,63000-72000,"Survey No, 625, Sikh Rd, Tar Bund, Secunderabad, Telangana 500003",,"Athletics, Basketball, Carroms, Chess, Cricket, Football, Handball, Kabaddi, Kho-Kho, Tennis, Throwball, Volleyball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
SPS HIGH SCHOOL,2000,Day Schools,500,Nursery - Class 10,State Board,tel:919513238818,24000 / Annual,"Survey No. 125 & 142, Quthbullapur, Kompally, Ruby Block, Kompally, Secunderabad, Hyderabad, Telangana 500100, India",,,Transport
ARMY PUBLIC SCHOOL,1983,Day Schools,N/A,Class 1 - Class 12,CBSE,tel:919513238818,35615 / Annual,"Allenby Lines, Cavalry Barracks Defence Officer's Colony, Yapral, Secunderabad, Telangana 500087, India",,,
Bolton School,2008,Public Schools,600,LKG - 10,CBSE,tel:919513238818,,"General Chouduri Road, NCC Ground, Gunrock Enclave, Secunderabad,  Hyderabad, Telangana 500034, India",Ms. Srilatha Chennapragada principal,Cricket,"Transport, Medical Facility, Smart Classrooms, Computers Facility, Library"
SRI CHAKRI VIDYA NIKETAN SCHOOL,Day Schools,600,Nursery - Class 10,State Board,Co-Education,tel:919513238818,20000 / Annual,"1-10-1/218/41/A, Chakripuram Rd, Nagarjuna Nagar colony, Kapra, Secunderabad, Telangana 500062, India",,,
St Ann's High School,1871,Public Schools,N/A,LKG - 10,State Board,tel:919513238818,Fee range is from Rs. 10000 to Rs. 50000,"12-5-3/1, Tarnaka Main Rd, Doctor ZMES Society, Vijayapuri Colony, Mettuguda, Secunderabad, Telangana 500017",,"Athletics, Basketball, Carroms, Chess, Cricket, Football, Hockey, Kabaddi, Karate, Kho-Kho, Lawn Tennis, Tennis, Throwball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Gitanjali Devshala,1997,Public Schools,1200,LKG - 10,ICSE,tel:919513238818,,"No. 154, Sappers Lane, Balamrai, Secunderabad, Telangana 500003",,"Athletics, Badminton, Basketball, Carroms, Chess, Cricket, Football, Handball, Hockey, Kabaddi, Kho-Kho, Lawn Tennis, Table-tennis","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
