Name,Since,Category,Strength,Years,Board,Phone No,Fee,Location,Faculty,Sports,Amenities
SRI CHAITANYA TECHNO SCHOOL,1986,Day Schools,500,Nursery - Class 10,State Board,tel:919513238818,25000 / Annual,"Registration Office Ln, Venkateswara Colony, Vijayapuri Colony, Uppal, Hyderabad, Telangana 500039, India",,,
Bhashyam Public School,N/A,Public Schools,N/A,LKG - 10,State Board,tel:919513238818,,"Road Number 3, Buddha Nagar Colony, Mallika Arjun Nagar, Uppal, Hyderabad, Telangana 500039, India",Mr. RamaKrishna Director,"Athletics, Carroms, Chess, Yoga","Transport, Laboratory, Smart Classrooms, Computers Facility, Library"
Kendriya Vidyalaya,1972,Public Schools,N/A,LKG - 12,CBSE,tel:919513238818,8000-13000,"Inner Ring Road, Survey Colony, Industrial Development Area, Uppal, Hyderabad, Telangana 500039",Mr.P.Srinivas Raju Principal / M.Sc B.Ed,"Cricket, Handball, Kabaddi, Kho-Kho, Taekwondo","Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Akshara International School,2023,International Schools,,Pre School - 10,CBSE,tel:919513238818,"85000/- to 1,50,000 Annual","Beside Anuragh University, Chowdhuryguda, Venkatapur, to, Ghatkesar Rd, Hyderabad, Telangana 500088",,"Basketball, Carroms, Chess, Football, Volleyball","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Kendriya Vidyalaya No 2,1980,Public Schools,N/A,LKG - 12,CBSE,tel:919513238818,9000-18000,"Uppal, Beside GHMC, Hyderabad, Telangana 500039","Smt. S. Radha Mahalakshmi Principal / M.Sc, M.Ed., M.Phil","Athletics, Chess, Football, Hockey, Kabaddi, Kho-Kho, Table-tennis, Tennis, Volleyball","Medical Facility, Laboratory, Computers Facility, Library"
St.Peter's Model School,N/A,Public Schools,551,LKG - 10,"CBSE, State Board",tel:919513238818,,"New Raghavendra Nagar, Sri Sai Nagar, Nacharam, Uppal Kalan, Telangana 500076, India",,"Badminton, Basketball, Chess, Cricket, Kabaddi, Karate, Skating, Soccer, Swimming, Throwball, Volleyball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Kangaroo Kids Preschool,N/A,Play Schools,N/A,LKG - UKG,Other Boards,tel:919513238818,,"Bharat Nagar Next to KKR Gardens, Beerappagadda, Uppal, hyderbad, Telangana 500039, India",,Cycling,"Transport, Medical Facility, Library"
Rankers Techno School,2005,Day Schools,520,Nursery - Class 10,State Board,tel:919513238818,25000 / Annual,"Plot No. 53 & 54, behind Srinivasa Theatre, Hanumasai Nagar, Shanti Nagar, Uppal, Hyderabad, Telangana 500039, India",,,Transport
EuroKids,N/A,Play Schools,N/A,LKG - 1,Other Boards,tel:919513238818,,"H.No: 8-43/8/P/14,, Rajashekar Colony, Balaji Hills, Uppal, Hyderabad, Telangana 500039",,"Cycling, Yoga","Transport, Library"
I play I Learn School,N/A,Play Schools,40,LKG - UKG,Other Boards,tel:919513238818,32000-34000,"Hanumasai Nagar, Vijayapuri Colony, Uppal, Hyderabad, Telangana 500039, India",,Cycling,"Transport, Medical Facility, Library"
Little Flower School,2007,Public Schools,N/A,LKG - 12,CBSE,tel:919513238818,39000-43500,"Opp. To Survey Of India, Meher Garden Rd, P & T Colony, Uppal, Hyderabad, Telangana 500039, India",Bro. Hrudaya Kumar Reddy Principal / N/A,"Athletics, Badminton, Basketball, Chess, Cricket, Football, Kabaddi, Kho-Kho, Skating, Table-tennis, Tennis, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Orchids International School,2023,International Schools,500,Pre School - 7,CBSE,tel:919513238818,,"7-48/1, Gyana Jyothi Nagar, Indira Nagar Colony, Shanakar Nagar, Uppal, Hyderabad, Telangana 500098",,,"Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
